supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
003-SEEES8,S-1094,Fabric Cover,Fabric,1.61,33,3577,30
003-9PPZTE,S-1098,Cushion Cover,Fabric,21.88,46,8968,25
003-N9Y50S,S-1100,Batting,Fabric,26.03,67,9559,9
003-LIWMHF,S-1109,Fabric Cover,Fabric,11.49,29,1798,19
003-4CO7GK,S-1113,Cushion Cover,Fabric,2.9,21,6035,20
003-TY25DY,S-1115,Batting,Fabric,32.05,58,925,5
003-XH7WMB,S-1125,Fabric Sleeve,Fabric,37.5,28,7808,16
003-1DHAMR,S-1131,Shade Fabric,Fabric,9.08,86,8360,27
003-R6KH5X,S-1135,Fabric Sleeve,Fabric,44.27,21,3558,3
003-JONI3M,S-1137,Fabric Sleeve,Fabric,36.36,47,1869,17
003-S3L0YN,S-1139,Fabric Sleeve,Fabric,9.78,72,8030,30
003-KBO7DR,S-1141,Fabric Sleeve,Fabric,20.43,90,9439,19
003-5U9E32,S-1143,Fabric Sleeve,Fabric,8.07,99,9989,10
003-8EIU9N,S-1145,Fabric Sleeve,Fabric,30.5,98,5407,8
003-3LU3C7,S-1147,Fabric Sleeve,Fabric,27.52,74,9714,16
003-KXVQZJ,S-1149,Fabric Sleeve,Fabric,39.49,77,9126,16
003-TTM1HR,S-1151,Fabric Sleeve,Fabric,13.55,50,2051,11
003-EK5FQS,S-1153,Fabric Sleeve,Fabric,39.27,31,6332,15
003-XMPT2A,S-1155,Fabric Sleeve,Fabric,20.02,23,9872,20
003-1X4MN9,S-1157,Fabric Sleeve,Fabric,34.57,44,2559,24
003-U8TAQR,S-1159,Fabric Sleeve,Fabric,38.7,63,7978,6
003-MF2AE0,S-1161,Fabric Sleeve,Fabric,21.56,92,4951,19
003-SPN1QI,,Wool Padding,Fabric,49.10,114,685,5
003-BGZE9H,,Satin Lining,Fabric,40.15,122,6003,8
003-J9947C,,Mesh Fabric,Fabric,16.56,67,9090,17
003-TJBE24,,Canvas Sheet,Fabric,97.26,40,615,11
003-RANS44,,Leather Patch,Fabric,39.11,92,1094,30
003-J16MUA,,Microfiber Cloth,Fabric,7.83,42,8089,30
003-318W3F,,Linen Sheet,Fabric,34.40,167,3853,20
003-F5PRJE,,Suede Strip,Fabric,35.97,134,9919,23
003-BG9UUB,,Chenille Fabric,Fabric,21.05,114,3289,20
003-9BFET4,,Outdoor Fabric,Fabric,72.59,153,5396,21
003-TZXA0D,,Nylon Webbing,Fabric,41.36,188,3545,7
003-SL1W3K,,Woven Trim,Fabric,57.13,76,5811,11
003-DBBZ9Z,,Jersey Knit,Fabric,6.32,85,9864,18
003-Q5BRCI,,Quilted Padding,Fabric,85.40,125,8069,25
003-SX4B77,,Vinyl Cover,Fabric,32.30,150,5231,6
003-20BM4N,,Faux Leather,Fabric,44.69,147,1024,19
003-5Y457B,,Cotton Cloth,Fabric,63.19,197,2348,30
003-LTHS79,,Elastic Band,Fabric,5.78,39,8763,23
003-TTU9EA,,Velvet Material,Fabric,54.24,181,473,15
003-U7H4G0,,Denim Cover,Fabric,23.92,102,4596,30
003-5TALTE,,Twill Fabric,Fabric,47.80,96,7233,4
003-UUG0QK,,Corduroy Material,Fabric,87.11,181,3504,11
003-7UEWKR,,Silk Cover,Fabric,9.81,80,2679,15
003-3QZUZL,,Embroidered Patch,Fabric,45.00,132,6908,30
003-6OEI9S,,Fleece Sheet,Fabric,73.43,72,3831,8
003-W3L52V,,Felt Padding,Fabric,87.45,87,2814,17
003-1XIRSA,,Upholstery Fabric,Fabric,28.44,38,3949,29
003-WFRWZ7,,Polyester Blend,Fabric,93.66,94,7550,13
003-WFGVRN,,Tapestry Material,Fabric,90.69,129,7001,26
003-CCO93A,,Jacquard Fabric,Fabric,97.16,53,174,21
