supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
010-3DG5FS,,Tissue Paper,Packaging,94.10,12,2759,5
010-HYJA1K,,Edge Protector,Packaging,48.93,29,7321,3
010-4PSNA3,,Gift Box,Packaging,22.91,23,665,25
010-M1B3DR,,Packaging Strap,Packaging,13.19,15,3327,16
010-9G0WOR,,Display Box,Packaging,97.06,15,6184,4
010-5ABVLO,,Poly Bag,Packaging,49.82,195,8667,25
010-01J04M,,Gift Wrap,Packaging,50.37,69,3038,17
010-EFWF85,,Air Pillows,Packaging,91.63,61,8752,16
010-BQOEX3,,Gift Bag,Packaging,22.78,46,4294,15
010-DI4RHY,,Shipping Tube,Packaging,17.71,199,7078,18
010-LKR112,,Bubble Wrap,Packaging,96.93,199,4625,11
010-OLO8G2,,Cardboard Box,Packaging,65.47,29,5191,22
010-Z49KFN,,Product Label,Packaging,3.65,158,6289,23
010-6NGKCH,,Gift Ribbon,Packaging,27.55,39,2964,12
010-FFW83E,,Foam Insert,Packaging,43.19,38,8193,14
010-00ASS6,,Corrugated Sheet,Packaging,92.68,40,6428,15
010-QOKR9B,,Packaging Seal,Packaging,76.22,110,7558,22
010-32NCZ7,,Packing Tape,Packaging,15.23,98,6102,7
010-912AM7,,Corner Protector,Packaging,54.92,52,9220,10
010-2DMVEL,,Retail Box,Packaging,13.80,52,6234,25
010-9AIDTC,,Void Fill,Packaging,21.30,104,3934,26
010-MP7HHM,,Stretch Film,Packaging,27.15,29,886,5
010-N7O6KW,,Hang Tag,Packaging,42.84,87,3736,24
010-XDPH4P,,Gift Tag,Packaging,16.18,116,473,4
010-G6ZE3D,,Shrink Wrap,Packaging,61.88,186,9746,25
010-AIW3VX,,Kraft Paper,Packaging,50.84,129,7231,26
010-84O1KG,,Packing Peanuts,Packaging,50.83,160,8400,11
010-265MOG,,Barcode Label,Packaging,14.14,95,6543,20
010-PEOEAL,,Shipping Label,Packaging,43.39,98,8137,13
010-VJV2JP,,Padded Envelope,Packaging,20.14,136,9514,20
