supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
011-U2QB0K,S-1074,Drawer Front,Wood,34.32,66,2442,13
011-TE7VE6,S-1075,Drawer Bottom,Wood,39.49,38,9346,16
011-ROD996,S-1076,Drawer Sides,Wood,16.07,11,4991,14
011-0OW3HE,S-1077,Drawer Back,Wood,16.79,94,6777,14
011-Q76HRG,S-1081,Drawer Front,Wood,46.31,65,547,25
011-0I43ME,S-1082,Drawer Bottom,Wood,10.57,22,5874,20
011-1NBUWM,S-1083,Drawer Sides,Wood,36.78,74,9823,3
011-0CUIHC,S-1084,Drawer Back,Wood,44.44,84,7482,14
011-CL9L8D,S-1087,Headboard Panel,Wood,15.13,58,434,14
011-HGK4YR,S-1089,Decorative Trim,Wood,46.52,53,5152,11
011-SFZ8XM,S-1092,Seat Base,Wood,31.31,92,2381,27
011-OOVSXJ,S-1104,Support Slats,Wood,8.8,39,7721,15
011-LOH0IY,S-1107,Back Panel,Wood,44.02,60,1329,26
011-JTMRO0,S-1116,Wood Panel,Wood,5.85,48,6113,29
011-3UULJA,S-1117,Edge Banding,Wood,36.21,57,3534,21
011-D6YKUP,S-1121,Edge Banding,Wood,32.45,46,935,9
011-Q26Y2G,S-1122,Reinforcement Strips,Wood,27.06,32,8088,19
011-U9JKWM,S-1124,Wooden Slat,Wood,34.02,95,727,22
011-VT7VPC,S-1134,Wooden Slat,Wood,10.73,13,416,12
011-K1F228,S-1136,Wooden Slat,Wood,32.61,17,6782,26
011-8FRL63,S-1138,Wooden Slat,Wood,31.68,62,1754,27
011-ZY6DNK,S-1140,Wooden Slat,Wood,9.85,62,617,21
011-YP3SW2,S-1142,Wooden Slat,Wood,37.63,39,5997,9
011-5V0RZL,S-1144,Wooden Slat,Wood,2.51,28,7326,16
011-QWITXZ,S-1146,Wooden Slat,Wood,7.58,31,3962,6
011-WAE4TF,S-1148,Wooden Slat,Wood,20.1,100,3957,10
011-ARTCIU,S-1150,Wooden Slat,Wood,17.38,78,787,9
011-WGZN3S,S-1152,Wooden Slat,Wood,49.27,14,2871,17
011-I912DH,S-1154,Wooden Slat,Wood,43.9,64,2380,27
011-6AHAO6,S-1156,Wooden Slat,Wood,25.89,56,821,28
011-I1UODZ,S-1158,Wooden Slat,Wood,5.92,25,6932,8
011-SKJWXX,S-1160,Wooden Slat,Wood,37.77,18,9856,7
011-KKU8C8,,MDF Board,Wood,76.10,138,7313,7
011-8CUPB8,,Cherry Panel,Wood,31.23,109,5296,11
011-XHLSDJ,,Wood Spindle,Wood,36.57,109,7696,29
011-XXZL83,,Wood Applique,Wood,17.86,177,127,16
011-X2LUSN,,Wood Spacer,Wood,31.66,181,2717,12
011-UZ88I8,,Maple Dowel,Wood,9.55,197,7567,11
011-W0PO2E,,Mahogany Panel,Wood,77.47,61,1671,13
011-MX6QJV,,Wood Edging,Wood,74.10,190,3821,6
011-ZQB9QK,,Hardwood Trim,Wood,86.79,145,4740,18
011-IIEW38,,Wood Veneer,Wood,67.65,132,1300,12
011-8PRCDG,,Wood Inlay,Wood,61.30,91,3112,7
011-XI3Q2K,,Plywood Sheet,Wood,92.38,37,1888,14
011-CJCJ74,,Wooden Bracket,Wood,23.05,27,4655,27
011-3QYENI,,Wooden Peg,Wood,23.52,61,5607,18
011-RXGS2A,,Pine Board,Wood,2.04,98,7931,14
011-4BGERP,,Particle Board,Wood,23.51,25,3459,7
011-QRTFMY,,Wood Finial,Wood,54.30,114,4735,4
011-T0GRRA,,Teak Board,Wood,11.49,100,5755,28
011-DKY2SK,,Wood Corbel,Wood,53.37,111,5444,27
011-GCGBTD,,Birch Veneer,Wood,95.50,57,5763,30
011-LMG1KD,,Wood Plug,Wood,5.51,48,2838,22
011-5FEAGI,,Bamboo Sheet,Wood,55.89,109,135,17
011-R7F5W6,,Walnut Strip,Wood,29.56,74,4674,27
011-ECL1XE,,Wooden Knob,Wood,91.97,37,2581,18
011-1SMO95,,Wood Rosette,Wood,81.21,50,5647,11
011-A1Z2CP,,Wood Molding,Wood,70.23,133,1854,21
011-NVSS0D,,Wooden Bead,Wood,19.74,120,5175,8
011-WLQ9A5,,Corner Block,Wood,98.87,119,9106,5
011-RWV1BG,,Cedar Plank,Wood,29.27,187,2541,17
011-EB2P2Z,,Oak Plank,Wood,41.52,50,4813,8
