supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
012-TIYD2J,S-1078,Drawer Rails,Metal,36.06,92,8618,5
012-VWYO8P,S-1079,Drawer Handle,Metal,39.15,75,5781,17
012-2EFHAU,S-1085,Drawer Rails,Metal,47.14,66,7198,5
012-HYI9GA,S-1088,Headboard Frame,Metal,20.88,78,3273,17
012-YQKOXM,S-1090,Mounting Brackets,Metal,4.16,76,884,5
012-2SP98P,S-1095,Mounting Brackets,Metal,9.71,54,5242,11
012-Y3AFUM,S-1101,Base Frame,Metal,46.13,98,8329,14
012-8XKM12,S-1102,Back Frame,Metal,37.96,22,6225,9
012-JQL5KV,S-1103,Side Frames,Metal,42.68,75,7152,11
012-OAM54L,S-1105,Corner Brackets,Metal,20.63,61,5413,15
012-YDXTFI,S-1110,Support Frame,Metal,15.77,66,2859,15
012-GD69V6,S-1119,Mounting Brackets,Metal,11.59,27,2329,5
012-392XNO,S-1126,Cable Tray,Metal,39.41,39,8247,26
012-QYDKZZ,S-1130,Shade Frame,Metal,31.23,85,1664,25
012-HVR21L,S-1133,Mounting Ring,Metal,17.19,95,8262,7
012-WJPY32,,Metal Rivet,Metal,65.22,196,7106,10
012-ROVM6F,,Brass Fitting,Metal,76.05,21,7744,13
012-FIITKM,,Iron Bracket,Metal,79.16,194,5877,29
012-RR99NQ,,Metal Cap,Metal,39.42,104,6317,3
012-VHSUEL,,Metal Mesh,Metal,93.68,175,3963,24
012-Q2RA5S,,Aluminum Tube,Metal,28.27,180,782,23
012-V8XNC1,,Chrome Handle,Metal,94.82,88,190,30
012-RHNGKP,,Stainless Hinge,Metal,84.45,25,1647,6
012-XSMBQU,,Bronze Knob,Metal,98.07,68,2567,20
012-J6Z2ZZ,,Metal Angle,Metal,17.92,185,8922,19
012-SRPDCB,,Metal Strap,Metal,12.13,199,1550,26
012-17WPRX,,Metal Grommet,Metal,57.94,50,8022,8
012-D3NCC0,,Metal Flange,Metal,14.77,170,2850,16
012-ZTTJHJ,,Metal Eyelet,Metal,64.79,161,266,24
012-ME6CBU,,Metal Plate,Metal,10.63,13,2586,3
012-41CC2M,,Zinc Fastener,Metal,12.36,112,6362,28
012-524M4Z,,Metal Chain,Metal,78.75,43,5080,3
012-6MUW5H,,Metal Clasp,Metal,11.50,186,6912,23
012-2LJYCG,,Metal Tube,Metal,65.02,93,4957,12
012-H5JK62,,Metal Spacer,Metal,96.62,157,723,17
012-GNACEI,,Metal Staple,Metal,46.48,37,5314,17
012-UTNU6N,,Metal Washer,Metal,27.40,45,7520,29
012-JAC0SO,,Steel Rod,Metal,97.35,194,7207,29
012-2N50GS,,Metal Bushing,Metal,98.01,18,8473,3
012-LWTOCW,,Metal Clip,Metal,63.85,172,1040,10
012-0SEAIY,,Metal Stud,Metal,4.72,116,7344,29
012-Z4I0YS,,Metal Hook,Metal,7.92,54,4079,13
012-4XJPE2,,Copper Wire,Metal,13.97,166,3812,12
012-2P3VY2,,Wire Frame,Metal,31.13,168,7736,7
012-AMCJ5A,,Metal Spring,Metal,2.15,100,3906,11
