supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
013-DKHQSS,S-1094,Fabric Cover,Fabric,8.64,63,1199,6
013-OZF390,S-1098,Cushion Cover,Fabric,8.58,62,9575,3
013-ALBFJQ,S-1100,Batting,Fabric,10.57,73,6641,16
013-R0GEOS,S-1109,Fabric Cover,Fabric,23.52,49,6802,6
013-FOQ9SV,S-1113,Cushion Cover,Fabric,11.02,54,8151,22
013-N6AWM0,S-1115,Batting,Fabric,35.19,73,2879,9
013-YGXSGS,S-1125,Fabric Sleeve,Fabric,20.99,92,9502,8
013-1X3X0O,S-1131,Shade Fabric,Fabric,43.95,53,1694,12
013-52MREO,S-1135,Fabric Sleeve,Fabric,5.9,79,7072,14
013-XV7GRM,S-1137,Fabric Sleeve,Fabric,13.04,84,3742,11
013-KUS4C1,S-1139,Fabric Sleeve,Fabric,2.6,86,9495,14
013-TRAWF5,S-1141,Fabric Sleeve,Fabric,6.42,64,7560,27
013-3FWUP6,S-1143,Fabric Sleeve,Fabric,30.38,47,8751,27
013-6E3FIE,S-1145,Fabric Sleeve,Fabric,36.04,76,8822,21
013-85THOK,S-1147,Fabric Sleeve,Fabric,23.95,74,589,12
013-LO2AFR,S-1149,Fabric Sleeve,Fabric,36.63,85,9957,5
013-C60DV1,S-1151,Fabric Sleeve,Fabric,38.93,67,1104,17
013-MRESQ1,S-1153,Fabric Sleeve,Fabric,6.95,81,2480,10
013-O24XA2,S-1155,Fabric Sleeve,Fabric,49.15,46,3519,19
013-XMEYG8,S-1157,Fabric Sleeve,Fabric,17.24,19,2517,15
013-6PASUZ,S-1159,Fabric Sleeve,Fabric,2.3,43,8180,11
013-ITTDCS,S-1161,Fabric Sleeve,Fabric,41.38,27,8807,12
013-KT0442,,Satin Lining,Fabric,9.70,11,315,5
013-4NYTA9,,Chenille Fabric,Fabric,46.96,164,8584,17
013-NP6UK0,,Leather Patch,Fabric,95.02,53,6556,23
013-YXULP1,,Mesh Fabric,Fabric,75.71,40,9769,7
013-55PFXJ,,Cotton Cloth,Fabric,29.15,95,6786,23
013-LIA4B7,,Velvet Material,Fabric,77.78,44,4477,9
013-QMKUZW,,Canvas Sheet,Fabric,5.64,71,5715,14
013-W8D90R,,Quilted Padding,Fabric,48.30,40,9942,9
013-UHK721,,Faux Leather,Fabric,81.85,141,7315,14
013-XXXL5R,,Silk Cover,Fabric,62.50,129,1156,4
013-RWR36Q,,Wool Padding,Fabric,67.90,149,4313,9
013-MS4F7P,,Fleece Sheet,Fabric,50.81,109,5745,18
013-CQ98HQ,,Woven Trim,Fabric,25.84,23,6515,13
013-11R47I,,Embroidered Patch,Fabric,48.75,158,2067,3
013-23ATWC,,Polyester Blend,Fabric,14.75,124,7354,4
013-X28MMW,,Tapestry Material,Fabric,18.70,26,5694,22
013-2BXSQ3,,Vinyl Cover,Fabric,76.40,123,1995,4
013-75A2YA,,Jacquard Fabric,Fabric,97.38,85,8540,19
013-SME9GS,,Linen Sheet,Fabric,85.48,171,4455,18
013-KWSEQW,,Felt Padding,Fabric,19.67,103,3855,4
013-HFXTGK,,Upholstery Fabric,Fabric,56.94,123,7949,6
013-3756AE,,Microfiber Cloth,Fabric,26.50,45,3373,22
013-09PMR7,,Twill Fabric,Fabric,3.38,22,9947,30
013-FV8RXU,,Jersey Knit,Fabric,56.90,35,4708,16
013-2TYR12,,Elastic Band,Fabric,76.39,183,3998,12
013-EDDQZ8,,Denim Cover,Fabric,36.25,77,1621,3
013-5RSVJQ,,Nylon Webbing,Fabric,73.93,62,7384,16
013-0P50U8,,Corduroy Material,Fabric,81.97,105,4640,30
013-BKFLIK,,Outdoor Fabric,Fabric,47.00,24,2941,4
013-5CSEBC,,Suede Strip,Fabric,80.17,136,8757,29
