supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
016-SI9ZBR,S-1099,Zipper,Hardware,23.33,25,2139,19
016-668KUH,S-1114,Zipper,Hardware,3.16,56,6840,8
016-524LCM,S-1118,Shelf Support Holes,Hardware,46.47,14,406,8
016-JWB8OB,S-1120,Wood Panels,Hardware,15.19,97,5907,28
016-N7B1OO,S-1127,Cable Clips,Hardware,46.39,99,248,17
016-DGLD1O,S-1128,Zip Ties,Hardware,23.93,21,5069,22
016-AQKKQ5,,Furniture Leg,Hardware,34.47,185,3723,22
016-34ODMU,,Furniture Hook,Hardware,86.58,57,4642,25
016-2STVDL,,Furniture Clip,Hardware,88.70,200,5085,30
016-WNTIXR,,Furniture Tie,Hardware,71.10,172,4849,5
016-AUV7V8,,Leveling Foot,Hardware,9.23,192,3639,6
016-L5Z020,,Shelf Support,Hardware,84.16,123,6137,18
016-XZ0PMU,,Corner Bracket,Hardware,52.87,172,9854,14
016-23HXFQ,,Furniture Cap,Hardware,44.44,38,2399,30
016-VX2OCS,,Furniture Spacer,Hardware,17.97,103,4716,30
016-UJPL1R,,Furniture Bolt,Hardware,18.03,165,8758,27
016-VN8O42,,Furniture Staple,Hardware,61.59,130,6247,17
016-ELCG8Y,,Furniture Tack,Hardware,95.37,72,279,15
016-N1L822,,Cabinet Knob,Hardware,49.43,114,7422,28
016-51UMR3,,Furniture Bumper,Hardware,82.31,195,8238,18
016-FT068M,,Door Hinge,Hardware,27.00,12,5873,20
016-TV5HYD,,Furniture Nail,Hardware,40.90,135,4511,7
016-41HZ50,,Magnetic Catch,Hardware,70.36,178,3058,3
016-HZJXRI,,Furniture Connector,Hardware,65.58,173,8082,8
016-0KMY6T,,Drawer Slide,Hardware,36.33,53,7050,17
016-SVG0FI,,Furniture Glide,Hardware,23.37,132,7282,27
016-7AHEO6,,Furniture Plate,Hardware,38.52,109,4685,30
016-ZA7CN9,,Touch Latch,Hardware,47.25,143,9716,13
016-OCBZQH,,Furniture Wedge,Hardware,58.12,15,431,15
016-U6HU7T,,Door Stop,Hardware,71.01,123,4393,6
016-MD4EDX,,Caster Wheel,Hardware,38.58,103,8006,17
016-CS2AT2,,Drawer Pull,Hardware,97.56,97,122,25
016-N5JY6B,,Cable Grommet,Hardware,45.53,60,3380,8
016-S3DB8H,,Furniture Strap,Hardware,17.06,102,4722,23
016-XPYH8K,,Furniture Lock,Hardware,58.33,54,9630,17
016-TTOY65,,Door Handle,Hardware,45.86,128,2329,9
