supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
018-HP1UAU,S-1132,Diffuser,Glass,43.01,97,3408,25
018-WNKVCX,,Glass Dome,Glass,67.91,190,2977,30
018-9NZT27,,Glass Vase,Glass,56.90,101,5514,17
018-SKATJX,,Frosted Glass,Glass,17.02,183,5347,10
018-RC7UYW,,Glass Mosaic,Glass,49.92,118,3861,22
018-V52OOM,,Glass Ornament,Glass,63.55,54,9918,25
018-ZDKTF2,,Glass Tile,Glass,99.86,74,4475,10
018-8JLQ4Y,,Glass Cabochon,Glass,95.06,12,1023,13
018-UXYZAF,,Glass Plate,Glass,33.50,178,1586,18
018-KDNFE1,,Glass Lens,Glass,33.02,27,5272,17
018-5511BS,,Glass Shade,Glass,7.49,132,420,11
018-XHDEJP,,Glass Pendant,Glass,87.67,109,379,14
018-1ZDSRU,,Glass Filter,Glass,81.83,21,1994,13
018-L00H1O,,Glass Handle,Glass,75.29,81,7408,30
018-WD7866,,Glass Prism,Glass,62.72,62,4709,6
018-A3QKJ3,,Glass Insert,Glass,96.34,124,2986,24
018-PK0XSY,,Glass Rod,Glass,38.88,67,310,7
018-JO4TNQ,,Glass Tube,Glass,45.24,167,8102,29
018-MGG828,,Glass Block,Glass,60.13,110,791,24
018-AOMUBO,,Glass Bead,Glass,86.48,114,1189,21
018-RPZFQN,,Glass Knob,Glass,43.52,57,3005,9
018-Y5GWXC,,Tinted Glass,Glass,58.31,105,8948,15
018-SY65IZ,,Clear Glass,Glass,12.53,50,2510,3
018-XRQFK1,,Glass Door,Glass,97.09,160,1591,8
018-E431MZ,,Mirror Glass,Glass,9.62,184,6651,14
018-AM3XEF,,Glass Bowl,Glass,11.62,104,7964,7
018-2NDC0M,,Glass Panel,Glass,10.42,114,7236,16
018-2HAR9V,,Glass Cup,Glass,95.97,90,3987,12
018-32DHI8,,Tempered Glass,Glass,6.10,180,4517,27
018-1C83T6,,Laminated Glass,Glass,16.74,116,4514,4
018-KKEOSD,,Glass Shelf,Glass,64.98,72,274,3
