supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
020-I028P4,,Void Fill,Packaging,52.36,54,7536,25
020-AV3QGP,,Corner Protector,Packaging,14.05,181,5894,18
020-Y3WWG1,,Shrink Wrap,Packaging,4.21,61,6344,12
020-N7YHND,,Kraft Paper,Packaging,73.60,83,5773,26
020-DX58I1,,Stretch Film,Packaging,71.40,41,4686,27
020-7KIQZX,,Foam Insert,Packaging,80.66,134,9345,14
020-7H9XJ9,,Gift Tag,Packaging,57.95,59,3108,11
020-1GOUQZ,,Tissue Paper,Packaging,84.32,35,5443,20
020-O3AIQU,,Retail Box,Packaging,15.61,28,3426,15
020-4DK13H,,Gift Box,Packaging,37.09,101,4480,24
020-67R82W,,Cardboard Box,Packaging,98.45,83,4715,4
020-RTQ36T,,Hang Tag,Packaging,25.97,93,8151,28
020-BLH5LO,,Barcode Label,Packaging,45.43,80,5311,30
020-VUH559,,Packaging Seal,Packaging,81.02,98,3963,19
020-OVS347,,Padded Envelope,Packaging,24.22,119,3349,4
020-FTOWN0,,Product Label,Packaging,67.31,133,1731,15
020-LU4SIE,,Packing Tape,Packaging,5.64,52,152,8
020-2EYW77,,Corrugated Sheet,Packaging,92.58,51,723,7
020-NKTJ5F,,Bubble Wrap,Packaging,42.66,65,164,22
020-4JJC6S,,Shipping Label,Packaging,71.68,33,7920,26
020-NSFE9N,,Packing Peanuts,Packaging,44.45,15,179,4
020-MYQR03,,Gift Wrap,Packaging,43.83,14,2909,16
020-HXPNBP,,Gift Ribbon,Packaging,50.41,62,4732,17
020-7R9RVV,,Gift Bag,Packaging,55.24,154,9637,9
020-WSA4CN,,Shipping Tube,Packaging,61.76,48,8422,9
020-F595HF,,Air Pillows,Packaging,41.67,76,7804,4
020-DSS7QW,,Packaging Strap,Packaging,82.26,92,2767,30
020-9ZHD7F,,Display Box,Packaging,30.73,167,2146,17
020-I7MENL,,Poly Bag,Packaging,3.32,39,9918,18
020-N2H9UH,,Edge Protector,Packaging,39.58,31,1436,28
