supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
001-H21RG4,S-1074,Drawer Front,Wood,42.73,14,4555,26
001-HXVCH0,S-1075,Drawer Bottom,Wood,36.77,80,4221,24
001-0RZF90,S-1076,Drawer Sides,Wood,19.51,58,7550,13
001-V34LV9,S-1077,Drawer Back,Wood,11.55,85,2230,22
001-6QNQDF,S-1081,Drawer Front,Wood,34.32,100,8771,6
001-F5IU5X,S-1082,Drawer Bottom,Wood,0.57,86,1461,30
001-1NGQML,S-1083,Drawer Sides,Wood,6.35,19,1058,7
001-UQQKS9,S-1084,Drawer Back,Wood,0.75,87,1482,11
001-HN4VUC,S-1087,Headboard Panel,Wood,43.62,64,7639,18
001-LY9BTZ,S-1089,Decorative Trim,Wood,35.57,38,4007,24
001-FFBWRY,S-1092,Seat Base,Wood,6.54,22,6539,19
001-W9RFUA,S-1104,Support Slats,Wood,30.33,88,9354,10
001-57BS1X,S-1107,Back Panel,Wood,15.02,93,4941,21
001-4VPJ6A,S-1116,Wood Panel,Wood,44.66,74,3356,3
001-U6GRNR,S-1117,Edge Banding,Wood,11.9,73,7044,30
001-JYX4VL,S-1121,Edge Banding,Wood,31.74,12,5210,10
001-6861BM,S-1122,Reinforcement Strips,Wood,29.67,38,8407,9
001-TH89UO,S-1124,Wooden Slat,Wood,26.18,30,197,9
001-NUARU4,S-1134,Wooden Slat,Wood,24.06,71,9761,18
001-VUG0BQ,S-1136,Wooden Slat,Wood,5.06,16,1321,25
001-XQNYKK,S-1138,Wooden Slat,Wood,13.69,50,4591,3
001-U9CL5P,S-1140,Wooden Slat,Wood,31.94,89,3569,7
001-19O2ZX,S-1142,Wooden Slat,Wood,31.31,78,1954,27
001-7X0SQH,S-1144,Wooden Slat,Wood,25.25,92,9857,10
001-MLDR6O,S-1146,Wooden Slat,Wood,35.7,91,778,4
001-VMDQPR,S-1148,Wooden Slat,Wood,10.99,42,1572,5
001-BH3GH4,S-1150,Wooden Slat,Wood,25.29,47,6454,30
001-RCQJF6,S-1152,Wooden Slat,Wood,31.45,29,6438,29
001-A9RS3S,S-1154,Wooden Slat,Wood,19.85,56,1244,18
001-NZ12M2,S-1156,Wooden Slat,Wood,28.57,31,7292,8
001-HOSQWQ,S-1158,Wooden Slat,Wood,10.09,35,8540,3
001-FJ6U6I,S-1160,Wooden Slat,Wood,35.7,31,2298,29
001-0LCN6O,,Wood Inlay,Wood,63.52,117,3641,16
001-I9E0J5,,Bamboo Sheet,Wood,18.54,51,8940,23
001-P0WAMH,,Mahogany Panel,Wood,82.34,176,7792,28
001-MLLJZL,,Wood Plug,Wood,66.29,33,7289,15
001-EKEEEM,,Cedar Plank,Wood,65.62,53,2383,5
001-3QWLJ6,,Wood Rosette,Wood,66.25,82,5763,12
001-CW35F4,,MDF Board,Wood,6.76,19,7920,28
001-401LZF,,Teak Board,Wood,62.87,24,1567,5
001-LLCJHO,,Wooden Knob,Wood,93.42,71,3084,21
001-8ZU040,,Wood Finial,Wood,63.83,98,7864,27
001-KLZ4U7,,Wood Spindle,Wood,14.22,56,1893,13
001-8S0JPF,,Particle Board,Wood,73.91,195,8454,4
001-F53OHN,,Wood Corbel,Wood,44.36,180,7668,29
001-ZUF7Z7,,Plywood Sheet,Wood,43.64,144,6495,25
001-9407QK,,Wooden Bracket,Wood,57.33,22,9184,22
001-48X1J8,,Wood Veneer,Wood,82.93,136,1146,15
001-MU66T3,,Wood Edging,Wood,89.96,49,4630,29
001-M3JA49,,Walnut Strip,Wood,22.65,25,3173,10
001-U5OCDU,,Corner Block,Wood,97.21,153,9338,7
001-6YJ1TM,,Wooden Bead,Wood,81.73,32,1309,22
001-YKHRFY,,Wood Applique,Wood,90.23,107,9424,4
001-7A1PFL,,Pine Board,Wood,51.83,82,8835,4
001-WU9CPZ,,Hardwood Trim,Wood,61.15,87,286,19
001-30NM4K,,Oak Plank,Wood,15.18,200,8665,25
001-DY7MSK,,Wood Molding,Wood,96.88,37,8330,13
001-OFF6LP,,Birch Veneer,Wood,74.88,57,5959,12
001-T9V0L2,,Cherry Panel,Wood,99.37,61,1254,29
001-H5C94R,,Maple Dowel,Wood,46.34,63,3064,15
001-21B4P1,,Wood Spacer,Wood,74.45,13,2801,26
001-738CAN,,Wooden Peg,Wood,80.88,114,8673,5
