supplier_part_number,customer_part_number,description,category,unit_price,minimum_order,stock_quantity,lead_time_days
002-9TKIH1,S-1078,Drawer Rails,Metal,34.62,91,1944,3
002-3QGM94,S-1079,Drawer Handle,Metal,2.22,47,4487,5
002-89V2FW,S-1085,Drawer Rails,Metal,40.82,62,7636,8
002-25F1EU,S-1088,Headboard Frame,Metal,29.65,49,3299,21
002-P8CRS5,S-1090,Mounting Brackets,Metal,9.4,24,8972,8
002-S6H12N,S-1095,Mounting Brackets,Metal,39.89,98,6682,3
002-URRYKB,S-1101,Base Frame,Metal,41.42,10,9182,27
002-4L08RE,S-1102,Back Frame,Metal,41.48,19,7902,21
002-CSIVGV,S-1103,Side Frames,Metal,4.41,30,4772,13
002-C2LHBX,S-1105,Corner Brackets,Metal,19.78,28,3871,11
002-DJAKDT,S-1110,Support Frame,Metal,15.96,74,781,19
002-265JLE,S-1119,Mounting Brackets,Metal,8.55,49,6818,19
002-09RZ4F,S-1126,Cable Tray,Metal,44.34,83,8310,30
002-SWSB97,S-1130,Shade Frame,Metal,18.23,87,5337,6
002-M6GWJW,S-1133,Mounting Ring,Metal,28.97,27,1014,29
002-X04FA8,,Metal Bushing,Metal,28.23,182,8907,22
002-R7ZTN0,,Metal Clip,Metal,24.10,47,9870,19
002-4QMQ3F,,Brass Fitting,Metal,19.28,169,7764,19
002-8Z6WRN,,Metal Strap,Metal,4.29,80,4560,6
002-M0VZO8,,Metal Spring,Metal,18.81,192,6911,12
002-BFNMLW,,Metal Mesh,Metal,68.62,18,2882,21
002-8C6LDY,,Metal Stud,Metal,53.90,53,4931,21
002-WLV02O,,Wire Frame,Metal,17.05,138,7163,19
002-UGHYDY,,Metal Staple,Metal,91.16,34,2914,14
002-HEIC1R,,Metal Cap,Metal,11.86,39,6819,20
002-9ODJD3,,Aluminum Tube,Metal,69.50,57,7200,23
002-IEOTQU,,Bronze Knob,Metal,18.90,24,5416,24
002-T93XPW,,Metal Eyelet,Metal,77.12,187,5583,8
002-C2JDBD,,Metal Angle,Metal,90.67,175,294,16
002-7RPR3X,,Zinc Fastener,Metal,7.98,11,2808,22
002-5R70L6,,Copper Wire,Metal,65.80,196,5450,22
002-WFI4QM,,Steel Rod,Metal,57.79,199,3899,5
002-X25S4I,,Stainless Hinge,Metal,67.52,152,6505,20
002-TXTJ2S,,Metal Clasp,Metal,30.92,155,9929,27
002-YNELOK,,Metal Plate,Metal,49.53,66,4161,17
002-OE8NPT,,Metal Washer,Metal,90.99,114,4406,26
002-GHP25L,,Metal Rivet,Metal,41.75,43,897,12
002-7QSVTC,,Iron Bracket,Metal,17.46,59,7685,17
002-S846XR,,Metal Flange,Metal,61.02,125,6108,14
002-LRKQEX,,Metal Grommet,Metal,2.19,47,4844,29
002-7PET50,,Chrome Handle,Metal,15.94,10,1207,17
002-9JCRD7,,Metal Chain,Metal,45.25,113,1174,6
002-QQEEZJ,,Metal Hook,Metal,67.81,105,9850,9
002-MY4BH6,,Metal Spacer,Metal,99.29,38,3666,30
002-IKACZU,,Metal Tube,Metal,18.73,188,7421,9
