personId,name,birthYear,deathYear
1,George Lucas,1944,
2,Mark Hamill,1951,
3,Harrison Ford,1942,
4,Carrie Fisher,1956,
6,Anthony Daniels,1946,
10,Bob Peterson,1961,
12,Alexander Gould,1994,
13,Albert Brooks,1947,
18,Brad Garrett,1960,
19,Allison Janney,1959,
20,Elizabeth Perkins,1960,
22,Barry Humphries,1934,
23,Bill Hunter,1940,2011
31,Tom Hanks,1956,
32,Robin Wright,1966,
35,Sally Field,1946,
42,Lars von Trier,1956,
48,Sean Bean,1959,
49,Maria Bello,1967,
50,Catherine Deneuve,1943,
52,David Morse,1953,
53,Peter Stormare,1953,
62,Bruce Willis,1955,
63,Milla Jovovich,1975,
64,Gary Oldman,1958,
65,Ian Holm,1931,
66,Chris Tucker,1972,
85,Johnny Depp,1963,
98,Sarah Polley,1979,
99,Amanda Plummer,1957,
100,Scott Speedman,1975,
103,Mark Ruffalo,1967,
109,Elijah Wood,1981,
110,Viggo Mortensen,1958,
112,Cate Blanchett,1969,
113,Christopher Lee,1922,
114,Orlando Bloom,1977,
116,Keira Knightley,1985,
118,Geoffrey Rush,1951,
130,Kenny Baker,1934,
131,Jake Gyllenhaal,1980,
133,Peter Sarsgaard,1971,
134,Jamie Foxx,1967,
138,Quentin Tarantino,1963,
139,Uma Thurman,1970,
140,Lucy Liu,1968,
141,David Carradine,1936,2009
150,RZA,1969,
154,Walter Murch,1943,
155,Lucas Black,1982,
164,Lior Ashkenazi,1968,
177,Margo Stilley,1982,
190,Clint Eastwood,1930,
192,Morgan Freeman,1937,
204,Kate Winslet,1975,
205,Kirsten Dunst,1982,
206,Jim Carrey,1962,
207,Tom Wilkinson,1948,
209,Jane Adams,1965,
212,David Cross,1964,
225,Ashton Holmes,1978,
227,William Hurt,1950,
228,Ed Harris,1950,
230,Stephen McHattie,1947,
258,Gael García Bernal,1978,
270,Adriana Barraza,1956,
287,Brad Pitt,1963,
288,Jon Seda,1970,
290,Christopher Plummer,1929,
326,Kim Basinger,1953,
327,Mekhi Phifer,1974,
335,Michael Shannon,1974,
336,Xzibit,1974,
343,Taryn Manning,1978,
349,Scott Glenn,1941,
350,Laura Linney,1964,
351,Judy Davis,1955,
352,Dennis Haysbert,1954,
