personId,movieId,characters
2295,189,Marv
56731,189,Nancy
16851,189,Dwight
24045,189,Johnny
5916,189,Gail
62,189,Hartigan
10912,189,Ava
6280,189,Senator Roark
352,189,Manute
11477,189,Joey
22227,189,Mort
12799,189,Bob
1062,189,Kroenig
5915,189,Goldie:Wendy
36594,189,Sally
825,189,Wallenquist
20982,189,Damien Lord
8693,189,Lt. Liebowitz
78324,189,Miho
237405,189,Bertha
57674,189,Gilda
936970,189,Marcie
449,10191,Hiccup
17276,10191,Stoick
24264,10191,Gobber
59174,10191,Astrid
21007,10191,Snotlout
54691,10191,Fishlegs
51990,10191,Tuffnut
41091,10191,Ruffnut
55398,10191,Phlegma the Fierce
20049,10191,Spitelout
37625,1930,Spider-Man:Peter Parker
54693,1930,Gwen Stacy
7026,1930,The Lizard:Dr. Curt Connors
5724,1930,Captain Stacy
8349,1930,Uncle Ben
35,1930,Aunt May
76793,1930,Rajit Ratha
55152,1930,Richard Parker
6368,1930,Mary Parker
231547,1930,Flash Thompson
558928,1930,Peter Parker (Age 4)
2878,1930,Jack's Father
7624,1930,School Librarian
59261,1930,Missy Kallenback
205976,1930,Hot Girl
157146,1930,Miss Ritter
1111328,1930,Cash Register Thief
1232365,1930,Gordon
15318,1930,Car Thief
3223,24428,Tony Stark:Iron Man
16828,24428,Steve Rogers:Captain America
103,24428,Bruce Banner:The Hulk
74568,24428,Thor
1245,24428,Natasha Romanoff:Black Widow
17604,24428,Clint Barton:Hawkeye
91606,24428,Loki
9048,24428,Agent Phil Coulson
71189,24428,Agent Maria Hill
1640,24428,Selvig
2231,24428,Nick Fury
12052,24428,Pepper Potts
6162,24428,Jarvis (voice)
14464,24428,World Security Council
101522,24428,Shield Pilot
6280,24428,World Security Council
7624,24428,Old Man in TV Report
34486,24428,Waitress
5048,24428,Security Guard
43553,24428,Georgi Luchkov
1214673,24428,The Other
19151,24428,Senator Boynton
1224022,24428,Young Cop
16828,1771,Steve Rogers:Captain America
1331,1771,Johann Schmidt:The Red Skull
2176,1771,Col. Chester Phillips
39459,1771,Peggy Carter
60898,1771,James 'Bucky' Barnes
2231,1771,Nick Fury
55470,1771,Howard Stark
2283,1771,Abraham Erskine
58502,1771,Private Lorraine
74289,1771,SHIELD Agent
30315,1771,Heinz Kruger
13014,1771,Dr. Arnim Zola
2203,1771,Timothy 'Dum Dum' Dugan
15543,1771,Gabe Jones
41561,1771,Jim Morita
30710,1771,James Montgomery Falsworth
7624,1771,General
74568,10195,Thor
524,10195,Jane Foster
91606,10195,Loki
4173,10195,Odin
1640,10195,Erik Selvig
52852,10195,Darcy
9048,10195,Agent Coulson
10132,10195,King Laufey
17605,10195,Heimdall
56614,10195,Volstagg
13275,10195,Hogun
77880,10195,Fandral
59817,10195,Sif
14343,10195,Frigga
78150,10195,Frost Giant Hailstrum
33045,10195,Townie
7624,10195,Stan the Man
2231,10195,Nick Fury
17604,10195,Clint Barton:Hawkeye
6193,27205,Cobb
24045,27205,Arthur
27578,27205,Ariadne
2524,27205,Eames
3899,27205,Saito
2037,27205,Robert Fischer
8293,27205,Mal
3895,27205,Miles
95697,27205,Yusuf
13022,27205,Browning
4935,27205,Maurice Fischer
526,27205,Nash
66441,27205,Blonde
3223,10138,Tony Stark
12052,10138,Pepper Potts
1896,10138,"Lt. Col. James ""Rhodey"" Rhodes"
1245,10138,Natalie Rushman:Natasha Romanoff
6807,10138,Justin Hammer
2295,10138,Ivan Vanko
2231,10138,Nick Fury
9048,10138,Agent Coulson
21134,10138,Howard Stark
52865,10138,Senator Stern
6162,10138,Jarvis (voice)
51072,10138,U.S. Marshal
57451,10138,Christine Everhart
15277,10138,Happy Hogan
73641,10138,Herself
14741,10138,Detective Lemieux
40275,10138,Major Allen
7624,10138,Himself
113676,10138,Rebecca
81364,10138,Chess Roberts
95777,10138,Himself
83274,10138,Ironette Dancer
992389,10138,SWAT Sergeant Bellows (uncredited)
77824,10138,Security Guard Fighting Happy Hogan (uncredited)
16483,27578,Barney Ross
976,27578,Lee Christmas
16644,27578,Gunnar Jensen
21315,27578,Monroe
74748,27578,Toll Road
77120,27578,Dan Paine
22821,27578,General Garza
99414,27578,Sandra
53256,27578,Hale Caesar
2295,27578,Tool
62,27578,Mr. Church
1100,27578,Trench
126502,27578,Lacy
68559,27578,The Brit
1336,27578,Yin Yang
85,1865,Captain Jack Sparrow
6972,1865,Blackbeard
955,1865,Angelica
118,1865,Barbossa
55901,1865,Tamara
10983,1865,King George II
1115,1865,Scrum
2449,1865,Gibbs
59129,1865,Spaniard
11279,1865,Henry Pelham
1430,1865,Captain Teague
469759,1865,Syrena
237455,1865,Philip
5309,1865,High Society Lady
1712,1865,Gillette
51300,1865,Master-at-Arms
27397,1865,John Carteret
229634,1865,King Ferdinand of the Spanish Empire
27428,23483,Dave Lizewski:Kick-Ass
56734,23483,Hit Girl:Mindy Macready
54691,23483,Chris D'Amico:Red Mist
2963,23483,Damon Macready:Big Daddy
2983,23483,Frank D'Amico
41556,23483,Marcus
3982,23483,Detective Vic Gigante
54729,23483,Marty
55089,23483,Todd
116881,23483,Mrs. Zane
116882,23483,Katie Deauxma
4513,23483,Mrs. Lizewski
18313,23483,Big Joe
17199,23483,Sporty Goon
36631,23483,Tre Fernandez
974,23483,Cody
20759,23483,Angie D'Amico
24264,23483,Himself
973,23483,Lobby Goon
12073,10192,Shrek (voice)
776,10192,Donkey (voice)
6941,10192,Princess Fiona (voice)
3131,10192,Puss in Boots (voice)
5823,10192,Queen (voice)
65717,10192,Brogan (voice)
8930,10192,King (voice)
64342,10192,Cookie (voice)
43775,10192,Gretched (voice)
25703,10192,Patrol Witch:Wagon Witch #2 (voice)
3138,10192,Dancing Witch:Wagon Witch #1 (voice)
5960,10192,Guard Witch (voice)
109869,10192,Pumpkin Witch:Palace Witch (voice)
118490,10192,Broomsy Witch (voice)
10980,12444,Harry Potter
10990,12444,Hermione Granger
10989,12444,Ron Weasley
1283,12444,Bellatrix Lestrange
4566,12444,Severus Snape
2440,12444,Rufus Scrimgeour
5658,12444,Albus Dumbledore
5469,12444,Lord Voldemort
2039,12444,Alastor 'Mad-Eye' Moody
5049,12444,Mr. Ollivander
8785,12444,Aberforth Dumbledore
96841,12444,Neville Longbottom
7026,12444,Xenophilius Lovegood
10993,12444,Draco Malfoy
11355,12444,Lucius Malfoy
83356,12444,Gellert Grindelwald
11291,12444,Fleur Delacour
10991,12444,Ginny Weasley
11184,12444,Griphook
1923,12444,Rubeus Hagrid
11207,12444,Remus Lupin
140367,12444,Luna Lovegood
15737,12444,Narcissa Malfoy
9191,12444,Wormtail
477,12444,Molly Weasley
11356,12444,Dolores Umbridge
10981,12444,Aunt Petunia
3300,12444,Nymphadora Tonks
20999,12444,Arthur Weasley
10983,12444,Vernon Dursley
10982,12444,Dudley Dursley
47468,12444,Madame Olympe Maxime
32990,12444,Mafalda Hopkirk
2482,12444,Albert Runcorn
234933,12444,Cho Chang
65445,12444,The Snatcher
3064,12444,Death Eater Yaxley
40638,12444,Pius Thicknesse
234921,12444,Antonin Dolohov
27822,12444,Elphias Doge
16358,12444,Kreacher (voice)
1140635,12444,Death Eater
234934,12444,Cormac McLaggen
11212,12444,Gregory Goyle
234928,12444,Pansy Parkinson
234926,12444,Padma Patil
975,12444,Scabior
13014,12444,Dobby
178630,12444,Mary Cattermole
1118,12444,Gregorovitch
83356,12444,Young Gellert Grindelwald
1643,12444,James Potter
10988,12444,Lily Potter
8436,12444,Rita Skeeter
60348,12444,Fenrir Greyback
