movieId,title,avgVote,releaseYear,genres,plot
189,Sin City: A Dame to Kill For,6.900000,2014,Action:Crime:Drama:Thriller,"In a gritty and corrupt city, a hard-boiled private detective navigates a web of deception and double-crosses as he seeks vengeance and redemption through a deadly affair with a seductive femme fatale."
1771,Captain America: The First Avenger,6.300000,2011,Action:Adventure:Science Fiction,"In a world on the brink of war, a frail young man transforms into a super-soldier to combat a ruthless villain and protect humanity with courage and strength."
1865,Pirates of the Caribbean: On Stranger Tides,6.300000,2011,Action:Adventure:Fantasy,"In a thrilling quest across treacherous seas, a notorious captain embarks on a daring expedition to find the fabled Fountain of Youth, confronting old foes, mythical creatures, and his own tumultuous past along the way."
1930,The Amazing Spider-Man,6.300000,2012,Action:Adventure:Fantasy,"In a thrilling battle against both personal and external demons, a young man discovers his extraordinary powers and must navigate the challenges of love and responsibility while protecting his city from a sinister threat."
4258,Scary Movie 5,4.700000,2013,Comedy,A group of unsuspecting friends unwittingly find themselves in a series of hilariously absurd and over-the-top paranormal situations as they attempt to document a supposed haunting in their home.
7978,The Wolfman,5.400000,2010,Drama:Horror:Thriller,"When a tormented man returns to his ancestral home, he uncovers a dark family secret that transforms him into a terrifying creature under the full moon, forcing him to confront both his primal instincts and the chilling legacy of his lineage."
8967,The Tree of Life,6.700000,2011,Drama:Fantasy:Indie,"In a visually stunning exploration of existence, a man reflects on his childhood and the connections between nature, grace, and the universe, as he grapples with the complexities of life, loss, and the search for meaning."
9364,Wuthering Heights,6.200000,2011,Drama:Romance,"In a tumultuous tale of love and vengeance set against the backdrop of the Yorkshire moors, a passionate yet tragic romance between an orphaned boy and a tempestuous girl winds through betrayal, longing, and the haunting grip of the past."
9543,Prince of Persia: The Sands of Time,6.200000,2010,Action:Adventure:Fantasy:Romance,"In a thrilling quest to reclaim a powerful artifact that can manipulate time, a daring prince teams up with a spirited princess to thwart a treacherous nobleman's devious plans while navigating treacherous landscapes and an enchanting romance."
10138,Iron Man 2,6.500000,2010,Action:Adventure:Science Fiction,"After facing new threats and personal demons, a billionaire industrialist must forge new alliances and upgrade his technology to protect the world and confront a vengeful adversary."
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,5.900000,2010,Fantasy,"In a fantastical journey across uncharted seas, a group of young adventurers sets sail on a magical ship to encounter mythical creatures and confront their deepest fears, all while seeking a way to save Narnia from impending darkness."
10191,How to Train Your Dragon,7.100000,2010,Adventure:Animation:Fantasy:Family,"In a mystical Viking world, a young boy befriends a dragon, leading to an unforgettable adventure that challenges his tribe's traditions and shows them the true bond between humans and dragons."
10192,Shrek Forever After,5.800000,2010,Adventure:Animation:Comedy:Fantasy:Family,"In a quest to regain his true identity, a weary ogre must navigate an alternate reality where he never existed while learning the value of friendship and family in a whimsical, animated adventure."
10193,Toy Story 3,7.300000,2010,Animation:Comedy:Family,"As their owner prepares to leave for college, a group of beloved toys grapples with feelings of abandonment and must unite to navigate new adventures and find their place in a changing world."
10195,Thor,6.300000,2011,Action:Adventure:Fantasy,"A mighty Norse god is banished to Earth, where he must prove his worthiness and reclaim his powers while facing both earthly adversaries and the dark forces threatening his home in Asgard."
10196,The Last Airbender,5.000000,2010,Action:Adventure:Fantasy:Family,"In a world divided by elemental nations, a young warrior embarks on a perilous quest to master the arts of water, earth, fire, and air to restore balance and defeat a dark empire threatening to plunge the world into chaos."
10316,The Ides of March,6.200000,2011,Drama,"In a high-stakes political arena, a young campaign strategist grapples with ethical dilemmas and betrayal as he navigates the murky waters of ambition and loyalty during a controversial presidential primary."
10679,Iron Sky,5.700000,2012,Action:Comedy:Science Fiction,"In a hilarious twist of fate, a group of Nazis who escaped to the moon during World War II return to Earth to reclaim their lost empire, only to find themselves facing an unexpected and absurd battle against a new generation of quirky heroes."
11324,Shutter Island,7.100000,2010,Drama:Mystery:Thriller,"Set in the mysterious confines of a mental institution, a U.S. Marshal unravels a chilling conspiracy while grappling with his own haunting past."
11439,The Ghost Writer,6.400000,2010,Mystery:Thriller,"A troubled ghostwriter uncovers a web of deceit and danger while finishing the memoir of a controversial politician, forcing him to confront dark secrets that could threaten his life."
12155,Alice in Wonderland,6.000000,2010,Fantasy,A young girl finds herself in a whimsical and surreal world where she encounters eccentric characters and embarks on an enchanting adventure to escape her mundane life and discover her true identity.
12201,Edge of Darkness,6.200000,2010,Crime:Drama:Mystery:Thriller,"In a gripping tale of vengeance and revelation, a grief-stricken detective uncovers a web of corruption and deceit while investigating his daughter's murder, leading him to confront powerful enemies and dark secrets."
12444,Harry Potter and the Deathly Hallows: Part 1,7.000000,2010,Adventure:Fantasy:Family,"As dark forces gather, a trio of young wizards embarks on a perilous journey to uncover ancient secrets and confront their destiny while evading powerful enemies determined to eradicate their world."
12445,Harry Potter and the Deathly Hallows: Part 2,7.300000,2011,Adventure:Fantasy:Family,"In a gripping final battle, Harry and his friends unite against dark forces to bring an end to Voldemort's reign, uncovering the true power of love and sacrifice."
12645,Inhale,6.000000,2010,Action:Drama:Thriller,"In a desperate bid to save his terminally ill daughter, a determined father dives deep into the seedy underbelly of the black market for organs, confronting moral dilemmas and dangerous adversaries along the way."
12685,BloodRayne: The Third Reich,3.500000,2011,Action:Adventure:Comedy:Horror:Science Fiction:Thriller,"In a darkly comedic blend of action and horror, a half-human, half-vampire warrior battles Nazi forces during World War II, aiming to thwart their sinister plans while grappling with her own bloodthirsty nature."
12819,Alpha and Omega,5.900000,2010,Animation:Family,"In a whimsical animated adventure, two mismatched wolves from rival packs embark on a journey filled with friendship and self-discovery, ultimately learning that love and unity can bridge even the deepest divides."
13477,When in Rome,5.500000,2010,Comedy:Romance,"In a whimsical turn of events, a skeptical woman impulsively takes coins from a magical fountain in Rome, only to find herself pursued by a group of charming suitors who are determined to win her heart, leading to a series of hilarious and romantic misadventures."
16290,Jackass 3D,6.600000,2010,Action:Comedy:Documentary,"In this outrageous blend of action and comedy, a fearless group of pranksters pushes the boundaries of absurdity with outrageous stunts and wild antics while capturing all the chaos in exhilarating 3D."
17578,The Adventures of Tintin,6.500000,2011,Action:Adventure:Animation:Mystery:Family,"A young reporter embarks on a thrilling quest around the globe to uncover hidden treasures and solve an ancient mystery, accompanied by his loyal dog and a cast of eccentric characters."
18823,Clash of the Titans,5.700000,2010,Action:Adventure:Fantasy,"In a heroic quest to reclaim his place among the gods, a young warrior battles mythical creatures and faces personal demons while striving to save his kingdom from a vengeful sea monster."
20352,Despicable Me,6.900000,2010,Animation:Family,A supervillain's plans to steal the moon are hilariously disrupted when he unexpectedly adopts three mischievous orphans who change his life forever.
20504,The Book of Eli,6.300000,2010,Action:Science Fiction:Thriller,"In a post-apocalyptic world, a solitary wanderer embarks on a treacherous journey to protect a sacred book that holds the key to humanity’s survival, while facing ruthless foes determined to seize it for their own dark ambitions."
20526,TRON: Legacy,6.200000,2010,Action:Adventure:Science Fiction,A young man discovers his missing father inside a digital world where he must navigate a high-stakes battle against malevolent forces to save both his dad and the real world.
20533,Jonah Hex,5.000000,2010,Action:Drama:Fantasy:Thriller:Western,"In a gritty post-Civil War landscape, a tormented bounty hunter with a cursed past must confront supernatural foes and his own demons while seeking revenge against a vengeful war criminal."
20662,Robin Hood,6.000000,2010,Action:Adventure:Drama:History,"In a gritty retelling of a timeless legend, a skilled archer and outlaw unites a band of rebels to challenge a corrupt regime and restore justice in medieval England."
22538,Scott Pilgrim vs. the World,7.100000,2010,Action:Adventure:Comedy,"A slacker must battle his girlfriend's seven evil exes in a fantastical showdown filled with video game-inspired action, humor, and unexpected romance."
22894,Legion,5.100000,2010,Action:Fantasy:Thriller,"As a group of strangers seeks refuge in a remote diner, they must battle a relentless onslaught of demonic forces unleashed by a celestial war, forcing them to confront their deepest fears and unite for survival."
22907,Takers,6.500000,2010,Action:Crime:Drama:Thriller,"A group of skilled thieves plans one last heist to secure their financial freedom, but their meticulously crafted plan unravels when a relentless detective closes in on them, forcing them to confront betrayal and the consequences of their dangerous lifestyle."
22970,The Cabin in the Woods,6.300000,2012,Horror:Thriller,"A group of friends unknowingly becomes part of a sinister experiment as they retreat to a remote cabin, where horrifying supernatural forces are unleashed, revealing the true nature of their reality."
22971,Dear John,6.500000,2010,Drama:Romance:War,"In this poignant tale, a soldier falls deeply in love with a college student while on leave, navigating the challenges of war and separation as their relationship is tested by time and unexpected circumstances."
22972,Green Zone,6.400000,2010,Action:Adventure:Drama:Thriller,"In a war-torn Baghdad, a determined U.S. Army officer uncovers a web of deception and corruption while searching for weapons of mass destruction, putting his life on the line in a race against time to expose the truth."
23023,Tooth Fairy,5.500000,2010,Comedy:Fantasy:Family,"After a tough-talking minor league hockey player is sentenced to community service, he discovers that fulfilling his duties as a tooth fairy involves a whimsical adventure filled with magic, mischief, and unexpected lessons in kindness and responsibility."
23047,Season of the Witch,5.600000,2011,Action:Adventure:Fantasy,"In a dark medieval world, a weary knight and a group of misfits embark on a perilous quest to transport a suspected witch to a remote monastery, only to discover that their journey is fraught with supernatural dangers that could either save or doom them all."
23048,Hot Tub Time Machine,5.800000,2010,Adventure:Comedy:Science Fiction,"A group of friends accidentally activates a magical hot tub that transports them back to the 1980s, prompting a wild adventure filled with laughter, nostalgia, and unexpected consequences as they attempt to change their futures."
23168,The Town,6.800000,2010,Crime:Drama:Thriller,"In a gritty Boston neighborhood, a skilled bank robber grapples with his conscience and a blossoming romance while navigating the treacherous waters of loyalty and betrayal amidst a whirlwind of crime and deception."
23169,Remember Me,6.800000,2010,Drama:Romance,"In a poignant exploration of love and loss, a young man in New York navigates the complexities of family and relationships while grappling with the impact of a tragic event that forever changes his outlook on life."
23172,The Spy Next Door,5.700000,2010,Action:Comedy:Family,"When a mild-mannered dad and undercover spy inadvertently becomes embroiled in international espionage, he must balance family life, comedic mishaps, and thrilling action to protect his loved ones from danger."
23437,A Nightmare on Elm Street,5.700000,2010,Horror:Mystery:Thriller,"A group of teenagers in a quiet suburban town discovers that they are being hunted in their dreams by a sinister figure, forcing them to confront their darkest fears to survive the nightmarish terror."
23483,Kick-Ass,6.800000,2010,Action:Crime,"In a gritty urban landscape, an ordinary teenager decides to don a mask and become a vigilante, inspiring others to join him in a chaotic and violent battle against crime while facing the brutal realities of his newfound role."
23514,The Rum Diary,5.300000,2011,Comedy:Drama,"In a vibrant yet chaotic 1950s Puerto Rico, an ambitious journalist navigates the challenges of the local newspaper scene while grappling with love, friendship, and the existential whims of life in a tropical paradise."
23629,Sucker Punch,5.900000,2011,Action:Fantasy:Thriller,"In a surreal and action-packed world, a young woman is institutionalized by her abusive stepfather and escapes into a fantastical realm where she must battle formidable enemies to secure her freedom and save her fellow captives."
23631,Machete,6.400000,2010,Action:Comedy:Thriller,"A renegade ex-Federale embarks on a brutal and hilarious quest for revenge against corrupt officials and drug lords who wronged him, blending outrageous action with dark humor."
23742,Cop Out,5.900000,2010,Action:Comedy:Crime,"Two mismatched detectives embark on a wild and hilarious chase to retrieve a stolen rare baseball card, only to find themselves tangled in a web of crime and unexpected misadventures."
