personId,name,birthYear,deathYear
2,Mark Hamill,1951,
3,Harrison Ford,1942,
31,Tom Hanks,1956,
35,Sally Field,1946,
48,Sean Bean,1959,
62,Bruce Willis,1955,
64,Gary Oldman,1958,
85,Johnny Depp,1963,
103,Mark Ruffalo,1967,
112,Cate Blanchett,1969,
113,Christopher Lee,1922,
116,Keira Knightley,1985,
118,Geoffrey Rush,1951,
131,Jake Gyllenhaal,1980,
134,Jamie Foxx,1967,
139,Uma Thurman,1970,
150,RZA,1969,
155,Lucas Black,1982,
207,Tom Wilkinson,1948,
227,William Hurt,1950,
287,Brad Pitt,1963,
335,Michael Shannon,1974,
349,Scott Glenn,1941,
352,Dennis Haysbert,1954,
380,Robert De Niro,1943,
388,Jim Broadbent,1949,
400,Geraldine Chaplin,1944,
429,Lucas Till,1990,
449,Jay Baruchel,1982,
477,Julie Walters,1950,
478,Jamie Bell,1986,
501,Dakota Fanning,1994,
517,Pierce Brosnan,1953,
524,Natalie Portman,1981,
526,Lukas Haas,1976,
532,Joe Pantoliano,1951,
537,Stephen Tobolowsky,1951,
652,Paul Freeman,1943,
658,Alfred Molina,1953,
776,Eddie Murphy,1961,
825,Stacy Keach,1941,
880,Ben Affleck,1972,
934,Russell Crowe,1964,
955,Penélope Cruz,1974,
973,Jason Flemyng,1966,
974,Dexter Fletcher,1966,
975,Nick Moran,1969,
976,Jason Statham,1967,
980,Vinnie Jones,1965,
1019,Mads Mikkelsen,1965,
1062,Christopher Lloyd,1938,
1064,Crispin Glover,1964,
1100,Arnold Schwarzenegger,1947,
1115,Stephen Graham,1973,
1118,Rade Šerbedžija,1946,
1121,Benicio del Toro,1967,
1204,Julia Roberts,1967,
1210,Héctor Elizondo,1936,
1229,Jeff Bridges,1949,
1233,Philip Seymour Hoffman,1967,2014
1244,Jonathan Rhys Meyers,1977,
1245,Scarlett Johansson,1984,
1246,Emily Mortimer,1971,
1247,Matthew Goode,1978,
1276,Patricia Clarkson,1959,
1283,Helena Bonham Carter,1966,
1331,Hugo Weaving,1960,
1333,Andy Serkis,1964,
1336,Jet Li,1963,
1341,Donnie Yen,1963,
1372,Karl Urban,1972,
1430,Keith Richards,1943,
1461,George Clooney,1961,
1470,Wayne Duvall,1958,
1619,Chow Yun-Fat,1955,
1640,Stellan Skarsgård,1951,
1643,Adrian Rawlins,1958,
1646,Udo Kier,1944,
1670,Daniel Mays,1978,
1711,Mackenzie Crook,1971,
1712,Damian O'Hare,1977,
1771,Giovanni Ribisi,1974,
1812,Michelle Williams,1980,
1813,Anne Hathaway,1982,
1892,Matt Damon,1970,
1896,Don Cheadle,1964,
1902,Dianne Wiest,1948,
1923,Robbie Coltrane,1950,
2037,Cillian Murphy,1976,
2039,Brendan Gleeson,1955,
2047,Danny Glover,1946,
2109,Kim Cattrall,1956,
2130,Cary Elwes,1962,
2165,Rosanna Arquette,1959,
2171,Griffin Dunne,1955,
2176,Tommy Lee Jones,1946,
2178,Forest Whitaker,1961,
2201,Max von Sydow,1929,
2202,Steve Harris,1965,
2203,Neal McDonough,1966,
2220,Tony Curran,1969,
2227,Nicole Kidman,1967,
2228,Sean Penn,1960,
2229,Catherine Keener,1959,
2231,Samuel L. Jackson,1948,
2232,Michael Keaton,1951,
2247,George Harris,1949,
2282,Ben Kingsley,1943,
2283,Stanley Tucci,1960,
2295,Mickey Rourke,1952,
2299,Josh Hartnett,1978,
2320,Julian Richings,1955,
2372,Ron Perlman,1950,
2395,Whoopi Goldberg,1955,
2440,Bill Nighy,1949,
2449,Kevin McNally,1956,
2452,Vanessa Branch,1973,
2461,Mel Gibson,1956,
2478,Tommy Flanagan,1965,
2482,David O'Hara,1965,
2506,Alice Krige,1954,
2524,Tom Hardy,1977,
2536,Michael Parks,1940,
2547,Bruce Boxleitner,1950,
2632,Chris Rock,1965,
2681,Erik Knudsen,1988,
2683,Glenn Plummer,1961,
2778,Dennis Hopper,1936,2010
2876,Matt Dillon,1964,
2878,C. Thomas Howell,1966,
2887,Tom Waits,1949,
2954,Jeffrey Wright,1965,
2955,Chris Cooper,1951,
2957,Alexander Siddig,1965,
2963,Nicolas Cage,1964,
2978,Max Minghella,1985,
2983,Mark Strong,1963,
3035,Jerry O'Connell,1974,
3036,John Cusack,1966,
3041,Marshall Bell,1942,
3061,Ewan McGregor,1971,
3063,Tilda Swinton,1960,
3064,Peter Mullan,1959,
3075,Rory McCann,1969,
3130,Jennifer Beals,1963,
3131,Antonio Banderas,1960,
3138,Kathy Griffin,1960,
3141,Marisa Tomei,1964,
3223,Robert Downey Jr.,1965,
3234,Joan Cusack,1962,
3265,Eli Wallach,1915,2014
3292,Nicholas Hoult,1989,
3300,Natalia Tena,1984,
3392,Michael Douglas,1944,
3397,Dejan Čukić,1966,
3416,Demi Moore,1962,
3417,Tony Goldwyn,1960,
3796,Michael Gough,1916,2011
3895,Michael Caine,1933,
3896,Liam Neeson,1952,
3899,Ken Watanabe,1959,
3911,John Carroll Lynch,1963,
3968,Michael Sheen,1969,
3982,Xander Berkeley,1955,
4012,Spencer Treat Clark,1987,
4038,Susan Sarandon,1946,
4090,Shirley MacLaine,1934,
4173,Anthony Hopkins,1937,
4433,Alexis Dziena,1984,
4451,Mark Webber,1980,
4455,Ulrich Thomsen,1963,
4491,Jennifer Aniston,1969,
4495,Steve Carell,1962,
4512,James Woods,1947,
4513,Elizabeth McGovern,1961,
4566,Alan Rickman,1946,
4581,Steve Coogan,1965,
4602,Jon Tenney,1961,
4691,James Gandolfini,1961,2013
4753,Brian Bloom,1970,
4808,Giancarlo Esposito,1958,
4819,Paolo Bonacelli,1939,
4935,Pete Postlethwaite,1945,2011
5048,Harry Dean Stanton,1926,
5049,John Hurt,1940,
5081,Emily Blunt,1983,
5149,Bonnie Hunt,1961,
5170,Mike Starr,1950,
5292,Denzel Washington,1954,
5294,Chiwetel Ejiofor,1977,
5309,Judi Dench,1934,
5313,Lena Olin,1955,
5377,Ato Essandoh,1972,
5469,Ralph Fiennes,1962,
5526,Georgie Henley,1995,
5527,Skandar Keynes,1991,
5528,William Moseley,1987,
5529,Anna Popplewell,1988,
5538,Ray Winstone,1957,
5657,Anjelica Huston,1951,
5658,Michael Gambon,1940,
5724,Denis Leary,1957,
5823,Julie Andrews,1935,
5887,Catalina Sandino Moreno,1981,
5915,Jaime King,1979,
5916,Rosario Dawson,1979,
5960,Mary Kay Place,1947,
6065,Dennis Quaid,1954,
6067,Jay O. Sanders,1953,
6091,August Diehl,1976,
6162,Paul Bettany,1971,
6172,Tanya Clarke,1972,
6193,Leonardo DiCaprio,1974,
6194,Claire Danes,1979,
6199,Miriam Margolyes,1941,
6280,Powers Boothe,1948,
6368,Embeth Davidtz,1965,
6383,Aaron Eckhart,1968,
6413,Danny Huston,1962,
6416,Polly Walker,1966,
6574,Clancy Brown,1959,
6674,Julia Dietze,1981,
6696,Mark Ivanir,1968,
6751,Siobhan Fallon,1961,
6807,Sam Rockwell,1968,
6832,Melissa Leo,1960,
6858,Mike Vogel,1979,
6886,Christina Ricci,1980,
6908,Marc Macaulay,1957,
6941,Cameron Diaz,1972,
6949,John Malkovich,1953,
6952,Charlie Sheen,1965,
6972,Ian McShane,1942,
7026,Rhys Ifans,1968,
7056,Emma Thompson,1959,
7107,Daniel Olbrychski,1945,
7166,Kevin Pollak,1957,
7167,Don Rickles,1926,
7248,Cliff Curtis,1968,
7399,Ben Stiller,1965,
7624,Stan Lee,1922,
7907,John Ratzenberger,1947,
8167,Paul Walker,1973,2013
8169,Tyrese Gibson,1978,
8170,Eva Mendes,1974,
8177,Michael Ealy,1973,
8293,Marion Cotillard,1975,
8329,Radha Mitchell,1973,
8338,Jodelle Ferland,1994,
8349,Martin Sheen,1940,
8436,Miranda Richardson,1958,
8534,Kathy Bates,1948,
8602,Alice Braga,1983,
8659,John Terry,1950,
8691,Zoe Saldana,1978,
8693,Jude Ciccolella,1947,
8784,Daniel Craig,1968,
8785,Ciarán Hinds,1953,
8874,Ernie Hudson,1945,
8891,John Travolta,1954,
8924,Frank Langella,1938,
8930,John Cleese,1939,
9013,Kevin McKidd,1973,
9015,Kelly Macdonald,1976,
9048,Clark Gregg,1962,
9138,Gemma Jones,1942,
9191,Timothy Spall,1957,
9193,Shun Sugata,1955,
9273,Amy Adams,1974,
9278,Jennifer Garner,1972,
9462,Randall Duk Kim,1943,
9576,Gina Torres,1969,
9642,Jude Law,1972,
9656,Johnny Knoxville,1971,
9824,Diane Kruger,1976,
9827,Rose Byrne,1979,
9828,Garrett Hedlund,1984,
9831,Vincent Regan,1965,
9880,Sam Shepard,1943,
9976,Henry Thomas,1971,
10132,Colm Feore,1958,
10205,Sigourney Weaver,1949,
10379,Victor Slezak,1957,
10431,Jennifer Jason Leigh,1962,
10655,Leslie Phillips,1924,
10672,Art Malik,1952,
10673,Andreas Wisniewski,1959,
10744,Götz Otto,1967,
10859,Ryan Reynolds,1976,
10860,Jessica Biel,1982,
10912,Eva Green,1980,
10959,Shia LaBeouf,1986,
10978,Maggie Smith,1934,
10980,Daniel Radcliffe,1989,
10981,Fiona Shaw,1958,
10982,Harry Melling,1989,
10983,Richard Griffiths,1947,2013
10988,Geraldine Somerville,1967,
10989,Rupert Grint,1988,
10990,Emma Watson,1990,
10991,Bonnie Wright,1991,
10993,Tom Felton,1987,
11006,James Marsden,1973,
11064,David Strathairn,1949,
11088,Barry Tubb,1963,
11107,Ben Foster,1980,
11108,Simon Pegg,1970,
11109,Nick Frost,1972,
11159,Cheech Marin,1946,
11160,Danny Trejo,1944,
11161,Tom Savini,1946,
11179,Sean Biggerstaff,1983,
11180,David Bradley,1942,
11184,Warwick Davis,1970,
11207,David Thewlis,1963,
11212,Josh Herdman,1987,
11275,Stephen Fry,1957,
11276,Tim Pigott-Smith,1946,
11279,Roger Allam,1953,
11288,Robert Pattinson,1986,
11291,Clémence Poésy,1982,
11355,Jason Isaacs,1963,
11356,Imelda Staunton,1956,
11367,Bradley Whitford,1959,
11477,Ray Liotta,1954,
11514,Catherine O'Hara,1954,
11616,Olivia Williams,1968,
11662,Jason Lee,1970,
