username,movieId,Interests,title,genres
@dhaden_55,23047,Movies|Social causes and activism|Business and entrepreneurship,Season of the Witch,Action:Adventure:Fantasy
@dhaden_55,22971,Movies|Social causes and activism|Business and entrepreneurship,Dear John,Drama:Romance:War
@dhaden_55,11324,Movies|Social causes and activism|Business and entrepreneurship,Shutter Island,Drama:Mystery:Thriller
@dhaden_55,27569,Movies|Social causes and activism|Business and entrepreneurship,Extraordinary Measures,Drama
@dhaden_55,10193,Movies|Social causes and activism|Business and entrepreneurship,Toy Story 3,Animation:Comedy:Family
@dhaden_55,189,Movies|Social causes and activism|Business and entrepreneurship,Sin City: A Dame to Kill For,Action:Crime:Drama:Thriller
@rmcnealy_299,27205,Photography|DIY and crafts|Sports|Beauty|Movies,Inception,Action:Adventure:Mystery:Science Fiction:Thriller
@rmcnealy_299,11439,Photography|DIY and crafts|Sports|Beauty|Movies,The Ghost Writer,Mystery:Thriller
@rmcnealy_299,23629,Photography|DIY and crafts|Sports|Beauty|Movies,Sucker Punch,Action:Fantasy:Thriller
@epassmore_305,20662,Movies|Education and learning|Fitness|Art,Robin Hood,Action:Adventure:Drama:History
@epassmore_305,34016,Movies|Education and learning|Fitness|Art,She's Out of My League,Comedy:Romance
@epassmore_305,27022,Movies|Education and learning|Fitness|Art,The Sorcerer's Apprentice,Action:Adventure:Comedy:Drama:Fantasy
@epassmore_305,10138,Movies|Education and learning|Fitness|Art,Iron Man 2,Action:Adventure:Science Fiction
@epassmore_305,33107,Movies|Education and learning|Fitness|Art,And Soon the Darkness,Crime:Horror:Mystery:Thriller
@ndidonna_360,27569,Politics|Gardening|Movies|Fashion,Extraordinary Measures,Drama
@ndidonna_360,16290,Politics|Gardening|Movies|Fashion,Jackass 3D,Action:Comedy:Documentary
@ndidonna_360,9543,Politics|Gardening|Movies|Fashion,Prince of Persia: The Sands of Time,Action:Adventure:Fantasy:Romance
@ndidonna_360,23759,Politics|Gardening|Movies|Fashion,Centurion,Action:Drama:Thriller
@ndidonna_360,31261,Politics|Gardening|Movies|Fashion,Halo Legends,Action:Adventure:Animation:Science Fiction
@rjohnson_412,27569,Pets|Movies|Music|Gardening,Extraordinary Measures,Drama
@rjohnson_412,23759,Pets|Movies|Music|Gardening,Centurion,Action:Drama:Thriller
@rjohnson_412,10316,Pets|Movies|Music|Gardening,The Ides of March,Drama
@ecastellano_439,27579,Movies|Fashion|Music|Science,The American,Crime:Drama:Suspense:Thriller
@ecastellano_439,32823,Movies|Fashion|Music|Science,Get Him to the Greek,Comedy
@javila_487,11324,Movies|Pets|Social causes and activism|Health and wellness,Shutter Island,Drama:Mystery:Thriller
@javila_487,1930,Movies|Pets|Social causes and activism|Health and wellness,The Amazing Spider-Man,Action:Adventure:Fantasy
@javila_487,26224,Movies|Pets|Social causes and activism|Health and wellness,Global Eugenics: Using Medicine to Kill,Documentary
@javila_487,24428,Movies|Pets|Social causes and activism|Health and wellness,The Avengers,Action:Adventure:Science Fiction
@javila_487,34179,Movies|Pets|Social causes and activism|Health and wellness,14 Blades,Action:Drama:Thriller
@wmullins_581,31261,Movies|Parenting and family|Food and dining|Sports,Halo Legends,Action:Adventure:Animation:Science Fiction
@wmullins_581,32657,Movies|Parenting and family|Food and dining|Sports,Percy Jackson & the Olympians: The Lightning Thief,Adventure:Fantasy:Family
@wmullins_581,12201,Movies|Parenting and family|Food and dining|Sports,Edge of Darkness,Crime:Drama:Mystery:Thriller
@wmullins_581,27586,Movies|Parenting and family|Food and dining|Sports,The Runaways,Drama:Music:Indie
@wmullins_581,30061,Movies|Parenting and family|Food and dining|Sports,Justice League: Crisis on Two Earths,Action:Adventure:Animation
@wmullins_581,18823,Movies|Parenting and family|Food and dining|Sports,Clash of the Titans,Action:Adventure:Fantasy
@wirby_681,18823,Sports|Movies|Movies|Music,Clash of the Titans,Action:Adventure:Fantasy
@wirby_681,9364,Sports|Movies|Movies|Music,Wuthering Heights,Drama:Romance
@wirby_681,33217,Sports|Movies|Movies|Music,Diary of a Wimpy Kid,Comedy:Family
@hmimms_774,20533,Technology|Business and entrepreneurship|Movies,Jonah Hex,Action:Drama:Fantasy:Thriller:Western
@hmimms_774,23759,Technology|Business and entrepreneurship|Movies,Centurion,Action:Drama:Thriller
@sbeasley_1024,10195,Fashion|Social causes and activism|Movies,Thor,Action:Adventure:Fantasy
@sbeasley_1024,27569,Fashion|Social causes and activism|Movies,Extraordinary Measures,Drama
@sbeasley_1024,11439,Fashion|Social causes and activism|Movies,The Ghost Writer,Mystery:Thriller
@sbeasley_1024,26388,Fashion|Social causes and activism|Movies,Buried,Drama:Mystery:Thriller
@sbeasley_1024,27582,Fashion|Social causes and activism|Movies,The Mechanic,Action:Crime:Thriller
@gramirez_1085,23830,Movies|Beauty,Last Night,Drama:Romance
@gramirez_1085,29920,Movies|Beauty,Easy Money,Crime:Drama:Thriller
@gramirez_1085,34016,Movies|Beauty,She's Out of My League,Comedy:Romance
@gramirez_1085,23759,Movies|Beauty,Centurion,Action:Drama:Thriller
@gramirez_1085,34179,Movies|Beauty,14 Blades,Action:Drama:Thriller
@gramirez_1085,20526,Movies|Beauty,TRON: Legacy,Action:Adventure:Science Fiction
@gramirez_1085,8967,Movies|Beauty,The Tree of Life,Drama:Fantasy:Indie
@mmoore_1253,27004,Finance and investments|Movies|Photography|Parenting and family|Fitness,Ca$h,Action:Adventure:Thriller:Indie
@jnicholson_1363,13477,Fitness|Fashion|Movies,When in Rome,Comedy:Romance
@jnicholson_1363,23759,Fitness|Fashion|Movies,Centurion,Action:Drama:Thriller
@jnicholson_1363,30061,Fitness|Fashion|Movies,Justice League: Crisis on Two Earths,Action:Adventure:Animation
@jnicholson_1363,32657,Fitness|Fashion|Movies,Percy Jackson & the Olympians: The Lightning Thief,Adventure:Fantasy:Family
@jnicholson_1363,26388,Fitness|Fashion|Movies,Buried,Drama:Mystery:Thriller
@jnicholson_1363,10679,Fitness|Fashion|Movies,Iron Sky,Action:Comedy:Science Fiction
@jnicholson_1363,7978,Fitness|Fashion|Movies,The Wolfman,Drama:Horror:Thriller
