movieId,username,title,genres,interests
189,@dnystrom_2135,Sin City: A Dame to Kill For,Action:Crime:Drama:Thriller,
1771,@rgene_3686,Captain America: The First Avenger,Action:Adventure:Science Fiction,
1865,@aschinke_3788,Pirates of the Caribbean: On Stranger Tides,Action:Adventure:Fantasy,
1930,@mgreen_5237,The Amazing Spider-Man,Action:Adventure:Fantasy,
4258,@nanderson_2175,Scary Movie 5,Comedy,
7978,@csmith_4262,The Wolfman,Drama:Horror:Thriller,
8967,@wirby_681,The Tree of Life,Drama:Fantasy:Indie,
9364,@gdillahunt_5702,Wuthering Heights,Drama:Romance,
9543,@fwhaley_1860,Prince of Persia: The Sands of Time,Action:Adventure:Fantasy:Romance,
10138,@rburdett_1876,Iron Man 2,Action:Adventure:Science Fiction,
10140,@wmullins_581,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fantasy,
10191,@pscott_3890,How to Train Your Dragon,Adventure:Animation:Fantasy:Family,
10192,@rcarter_4104,Shrek Forever After,Adventure:Animation:Comedy:Fantasy:Family,
10193,@ktravis_1784,Toy Story 3,Animation:Comedy:Family,
10195,@mcart_5535,Thor,Action:Adventure:Fantasy,
10196,@ojames_4515,The Last Airbender,Action:Adventure:Fantasy:Family,
10316,@jnicholson_1363,The Ides of March,Drama,
10679,@sbeasley_1024,Iron Sky,Action:Comedy:Science Fiction,
11324,@wsanders_4829,Shutter Island,Drama:Mystery:Thriller,
11439,@csalinas_5013,The Ghost Writer,Mystery:Thriller,
12155,@gdillahunt_5702,Alice in Wonderland,Fantasy,
12201,@cdaniels_1707,Edge of Darkness,Crime:Drama:Mystery:Thriller,
12444,@hmimms_774,Harry Potter and the Deathly Hallows: Part 1,Adventure:Fantasy:Family,
12445,@pmarshall_5916,Harry Potter and the Deathly Hallows: Part 2,Adventure:Fantasy:Family,
12645,@bvasquez_3580,Inhale,Action:Drama:Thriller,
12685,@wsanders_4829,BloodRayne: The Third Reich,Action:Adventure:Comedy:Horror:Science Fiction:Thriller,
12819,@hmimms_774,Alpha and Omega,Animation:Family,
13477,@rgene_3686,When in Rome,Comedy:Romance,
16290,@wmullins_581,Jackass 3D,Action:Comedy:Documentary,
17578,@alindall_4087,The Adventures of Tintin,Action:Adventure:Animation:Mystery:Family,
18823,@csmith_4262,Clash of the Titans,Action:Adventure:Fantasy,
20352,@dnystrom_2135,Despicable Me,Animation:Family,
20504,@rgene_3686,The Book of Eli,Action:Science Fiction:Thriller,
20526,@arobison_4541,TRON: Legacy,Action:Adventure:Science Fiction,
20533,@cmontgomery_1589,Jonah Hex,Action:Drama:Fantasy:Thriller:Western,
20662,@mboehme_3442,Robin Hood,Action:Adventure:Drama:History,
22538,@bstewart_5921,Scott Pilgrim vs. the World,Action:Adventure:Comedy,
22894,@rburdett_1876,Legion,Action:Fantasy:Thriller,
22907,@pmarshall_5916,Takers,Action:Crime:Drama:Thriller,
22970,@ljeanbaptiste_2441,The Cabin in the Woods,Horror:Thriller,
22971,@cdaniels_1707,Dear John,Drama:Romance:War,
22972,@pmarshall_5916,Green Zone,Action:Adventure:Drama:Thriller,
23023,@gdillahunt_5702,Tooth Fairy,Comedy:Fantasy:Family,
23047,@fwhaley_1860,Season of the Witch,Action:Adventure:Fantasy,
23048,@javila_487,Hot Tub Time Machine,Adventure:Comedy:Science Fiction,
23168,@mmoore_1253,The Town,Crime:Drama:Thriller,
23169,@pmason_3279,Remember Me,Drama:Romance,
23172,@clawson_4077,The Spy Next Door,Action:Comedy:Family,
23437,@gjackson_3588,A Nightmare on Elm Street,Horror:Mystery:Thriller,
23483,@bheinz_2682,Kick-Ass,Action:Crime,
23514,@rjohnson_412,The Rum Diary,Comedy:Drama,
23629,@nanderson_2175,Sucker Punch,Action:Fantasy:Thriller,
23631,@wkim_2061,Machete,Action:Comedy:Thriller,
23742,@rford_2315,Cop Out,Action:Comedy:Crime,
23759,@dnystrom_2135,Centurion,Action:Drama:Thriller,
23830,@rburdett_1876,Last Night,Drama:Romance,
24021,@cmontgomery_1589,The Twilight Saga: Eclipse,Adventure:Drama:Fantasy:Romance,
24428,@cwilliams_1684,The Avengers,Action:Adventure:Science Fiction,
25195,@dhaden_55,Leap Year,Comedy:Romance,
26022,@gmohr_4345,My Name Is Khan,Drama:Romance,
26214,@gjackson_3588,The American Matrix - Age Of Deception,Documentary,
26224,@rburdett_1876,Global Eugenics: Using Medicine to Kill,Documentary,
26388,@jpelaez_5454,Buried,Drama:Mystery:Thriller,
26389,@jpelaez_5454,From Paris with Love,Action:Crime:Thriller,
27004,@ssanchez_2458,Ca$h,Action:Adventure:Thriller:Indie,
27022,@csalinas_5013,The Sorcerer's Apprentice,Action:Adventure:Comedy:Drama:Fantasy,
27205,@sroe_2015,Inception,Action:Adventure:Mystery:Science Fiction:Thriller,
27569,@rwilliams_3454,Extraordinary Measures,Drama,
27573,@wsanders_4829,The Bounty Hunter,Action,
27576,@rwilliams_3454,Salt,Action:Crime:Mystery:Thriller,
27578,@csmith_4262,The Expendables,Action:Thriller,
27579,@eshape_1507,The American,Crime:Drama:Suspense:Thriller,
27581,@wsanders_4829,The Other Guys,Action:Comedy:Crime,
27582,@akoester_4833,The Mechanic,Action:Crime:Thriller,
27583,@gramirez_1085,Greenberg,Comedy:Drama:Romance,
27585,@rwilliams_3454,Rabbit Hole,Drama,
27586,@pscott_3890,The Runaways,Drama:Music:Indie,
29427,@jdrew_1848,The Crazies,Action:Horror:Mystery,
29564,@fwhaley_1860,Smokin' Aces 2: Assassins' Ball,Action:Adventure:Comedy:Crime:Thriller,
29920,@alindall_4087,Easy Money,Crime:Drama:Thriller,
30061,@gjackson_3588,Justice League: Crisis on Two Earths,Action:Adventure:Animation,
30618,@gdillahunt_5702,Bunraku,Action:Drama:Thriller,
30675,@rcarter_4104,Planet Hulk,Action:Animation:Science Fiction,
31007,@rdavis_2506,Welcome to the Rileys,Drama:Indie,
31261,@wirby_681,Halo Legends,Action:Adventure:Animation:Science Fiction,
31867,@dnystrom_2135,Repo Men,Action:Crime:Science Fiction:Thriller,
31967,@ecolley_3926,Dante's Inferno: An Animated Epic,Action:Animation:Science Fiction:Thriller,
32657,@csmith_4262,Percy Jackson & the Olympians: The Lightning Thief,Adventure:Fantasy:Family,
32823,@rmcnealy_299,Get Him to the Greek,Comedy,
32856,@aschinke_3788,Valentine's Day,Comedy:Romance,
33107,@mmoore_1253,And Soon the Darkness,Crime:Horror:Mystery:Thriller,
33217,@mgreen_5237,Diary of a Wimpy Kid,Comedy:Family,
33555,@wmullins_581,Sherlock Holmes,Action:Drama:Fantasy:Horror:Mystery:Thriller,
33602,@sroe_2015,Temple Grandin,Drama,
33909,@pmason_3279,Wall Street: Money Never Sleeps,Crime:Drama,
34016,@rjohnson_412,She's Out of My League,Comedy:Romance,
34179,@rcollins_3145,14 Blades,Action:Drama:Thriller,
34182,@jmartell_1635,Confucius,Drama:History,
34335,@javila_487,Nine Dead,Crime:Drama:Horror:Suspense:Thriller,
34803,@rcarter_4104,Death at a Funeral,Comedy,
