username,movieId,Interests,title,genres
@jlawhorn_1,79628,Movies|Fashion|Fashion|Books,TT3D: Closer to the Edge,Documentary
@jlawhorn_1,167032,Movies|Fashion|Fashion|Books,Curse of Chucky,Horror:Thriller
@smorgan_7,84287,Outdoor activities|Movies,The Imposter,Documentary:Drama
@smorgan_7,94047,Outdoor activities|Movies,My Way,Action:Drama:History:War
@dvinci_21,56415,Music|Sports|Movies,A Gang Story,Crime:Drama
@dvinci_21,143049,Music|Sports|Movies,Adult World,Comedy
@dvinci_21,72477,Music|Sports|Movies,Texas Killing Fields,Crime:Drama:Mystery:Thriller
@dvinci_21,38031,Music|Sports|Movies,You Will Meet a Tall Dark Stranger,Comedy:Drama:Romance
@wrichardson_23,43949,Science|Movies,Flipped,Comedy:Drama:Romance
@wrichardson_23,51540,Science|Movies,Horrible Bosses,Comedy:Crime
@wrichardson_23,52338,Science|Movies,Waiting for Forever,Drama:Romance
@rburns_25,57627,Science|Movies|Health and wellness|Finance and investments|Books,A Little Thing Called Love,Comedy:Romance
@rburns_25,57212,Science|Movies|Health and wellness|Finance and investments|Books,War Horse,Drama:War
@rburns_25,130925,Science|Movies|Health and wellness|Finance and investments|Books,Partysaurus Rex,Animation:Comedy:Fantasy:Family
@rburns_25,249021,Science|Movies|Health and wellness|Finance and investments|Books,Android Cop,Action:Science Fiction
@rburns_25,100271,Science|Movies|Health and wellness|Finance and investments|Books,A Letter to Momo,Animation:Drama
@ckim_34,63493,Finance and investments|Photography|Finance and investments|Movies,The Ledge,Drama:Thriller
@ckim_34,68734,Finance and investments|Photography|Finance and investments|Movies,Argo,Drama:Thriller
@ckim_34,276690,Finance and investments|Photography|Finance and investments|Movies,Street Fighter: Assassin's Fist,Action:Adventure:Drama:Thriller
@ckim_34,38117,Finance and investments|Photography|Finance and investments|Movies,Beastly,Drama:Fantasy:Romance
@ckim_34,102382,Finance and investments|Photography|Finance and investments|Movies,The Amazing Spider-Man 2,Action:Adventure:Fantasy
@ckim_34,136400,Finance and investments|Photography|Finance and investments|Movies,2 Guns,Action:Comedy:Crime:Drama:Thriller
@ckim_34,75900,Finance and investments|Photography|Finance and investments|Movies,My Week with Marilyn,Drama
@wputnam_44,107811,Parenting and family|Movies|Cars and automobiles,21 & Over,Comedy
@wputnam_44,37931,Parenting and family|Movies|Cars and automobiles,MacGruber,Action:Adventure:Comedy
@wputnam_44,10193,Parenting and family|Movies|Cars and automobiles,Toy Story 3,Animation:Comedy:Family
@wputnam_44,38961,Parenting and family|Movies|Cars and automobiles,Tamara Drewe,Comedy:Romance
@wputnam_44,123103,Parenting and family|Movies|Cars and automobiles,Aftershock,Horror:Thriller
@wputnam_44,118683,Parenting and family|Movies|Cars and automobiles,Maximum Conviction,Action:Adventure:Thriller
@hmorrow_45,167032,Movies|Pets,Curse of Chucky,Horror:Thriller
@hmorrow_45,36970,Movies|Pets,Disneynature Oceans,Documentary:Family
@hmorrow_45,64956,Movies|Pets,Inception: The Cobol Job,Action:Animation:Science Fiction:Thriller
@hmorrow_45,82703,Movies|Pets,Mr. Peabody & Sherman,Adventure:Animation:Family
@hmorrow_45,37958,Movies|Pets,Immortals,Action:Drama:Fantasy
@dhaden_55,65851,Movies|Social causes and activism|Business and entrepreneurship,Jackass 3.5,Action:Comedy:Documentary
@dhaden_55,57212,Movies|Social causes and activism|Business and entrepreneurship,War Horse,Drama:War
@dhaden_55,191148,Movies|Social causes and activism|Business and entrepreneurship,Top of the Lake,Crime:Drama
@dhaden_55,35217,Movies|Social causes and activism|Business and entrepreneurship,Friendship!,Comedy
@dhaden_55,76543,Movies|Social causes and activism|Business and entrepreneurship,Tyrannosaur,Drama:Romance
@jblackwell_65,13477,Travel|Cooking|Parenting and family|Movies|Books,When in Rome,Comedy:Romance
@jblackwell_65,81390,Travel|Cooking|Parenting and family|Movies|Books,A Lonely Place to Die,Action:Adventure:Crime:Thriller
@jblackwell_65,59965,Travel|Cooking|Parenting and family|Movies|Books,Abduction,Action:Mystery:Thriller
@jblackwell_65,77949,Travel|Cooking|Parenting and family|Movies|Books,The Awakening,Drama:Horror:Thriller
@jblackwell_65,124157,Travel|Cooking|Parenting and family|Movies|Books,The Thieves,Action:Crime
@jblackwell_65,46541,Travel|Cooking|Parenting and family|Movies|Books,Game of Death,Action:Thriller
@jblackwell_65,119450,Travel|Cooking|Parenting and family|Movies|Books,Dawn of the Planet of the Apes,Action:Drama:Science Fiction:Thriller
@jgreene_85,210047,Gaming|Movies,Cold Comes the Night,Crime:Drama:Thriller
@jgreene_85,98205,Gaming|Movies,War Witch,Drama:War
@jgreene_85,93837,Gaming|Movies,So Undercover,Action:Comedy
@awhitfield_95,157849,Movies|Social causes and activism|Outdoor activities,A Most Wanted Man,Thriller
@awhitfield_95,43923,Movies|Social causes and activism|Outdoor activities,It's Kind of a Funny Story,Comedy:Drama:Indie
@awhitfield_95,41556,Movies|Social causes and activism|Outdoor activities,The Romantics,Comedy:Drama:Romance
@awhitfield_95,38757,Movies|Social causes and activism|Outdoor activities,Tangled,Animation:Musical:Family
@awhitfield_95,131689,Movies|Social causes and activism|Outdoor activities,The Wicked,Fantasy:Horror:Thriller
@awhitfield_95,103747,Movies|Social causes and activism|Outdoor activities,The Angels' Share,Comedy:Drama
@awhitfield_95,201086,Movies|Social causes and activism|Outdoor activities,Cuban Fury,Comedy
@nsabatino_97,127521,Technology|Movies,6 Bullets,Action:Thriller
@nsabatino_97,104755,Technology|Movies,The Lords of Salem,Horror:Thriller
@nsabatino_97,74135,Technology|Movies,Gantz: Perfect Answer,Action:Mystery:Science Fiction
@nsabatino_97,121789,Technology|Movies,At Any Price,Drama
@nsabatino_97,39781,Technology|Movies,The Kids Are All Right,Comedy:Drama
@cturner_100,210479,Movies|Music|Business and entrepreneurship|Food and dining,Locke,Drama:Thriller
@cturner_100,112198,Movies|Music|Business and entrepreneurship|Food and dining,What's in a Name,Comedy
@cturner_100,248774,Movies|Music|Business and entrepreneurship|Food and dining,Obvious Child,Comedy:Romance
@cturner_100,47218,Movies|Music|Business and entrepreneurship|Food and dining,Happythankyoumoreplease,Comedy:Romance:Indie
@cturner_100,45612,Movies|Music|Business and entrepreneurship|Food and dining,Source Code,Mystery:Science Fiction:Thriller
@cturner_100,58151,Movies|Music|Business and entrepreneurship|Food and dining,Fright Night,Comedy:Horror
@cturner_100,100898,Movies|Music|Business and entrepreneurship|Food and dining,North Sea Texas,Drama:Romance
@ddiaz_121,50620,Politics|Fashion|Beauty|Movies|Cars and automobiles,The Twilight Saga: Breaking Dawn - Part 2,Adventure:Drama:Fantasy:Romance
@ddiaz_121,191148,Politics|Fashion|Beauty|Movies|Cars and automobiles,Top of the Lake,Crime:Drama
@therald_128,75174,Cooking|Science|Movies,The Grey,Action:Drama:Thriller
@therald_128,50135,Cooking|Science|Movies,Animals United,Animation:Comedy:Family
@therald_128,49520,Cooking|Science|Movies,The Change-Up,Comedy
@therald_128,206324,Cooking|Science|Movies,Bhaag Milkha Bhaag,Drama:History
@therald_128,20533,Cooking|Science|Movies,Jonah Hex,Action:Drama:Fantasy:Thriller:Western
@washford_132,109424,Fashion|Books|Travel|Movies,Captain Phillips,Action:Drama:Thriller
@washford_132,145247,Fashion|Books|Travel|Movies,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,Adventure:Comedy:Drama
@washford_132,194523,Fashion|Books|Travel|Movies,Blind Detective,Comedy:Crime:Drama
@washford_132,222899,Fashion|Books|Travel|Movies,About Last Night,Comedy:Romance
@sday_160,65057,History|Movies|Education and learning|Fashion,The Descendants,Comedy:Drama
@sday_160,184314,History|Movies|Education and learning|Fashion,Young & Beautiful,Drama
@sday_160,214314,History|Movies|Education and learning|Fashion,Bears,Documentary:Family
@sday_160,127372,History|Movies|Education and learning|Fashion,Emperor,Drama:History:War
@sday_160,145135,History|Movies|Education and learning|Fashion,Dark Skies,Horror:Science Fiction:Thriller
@lgannon_164,48492,Parenting and family|Movies|Nature|Cooking|History,Detective Dee and the Mystery of the Phantom Flame,Action:Adventure:Drama:Mystery
@lgannon_164,35025,Parenting and family|Movies|Nature|Cooking|History,Le Mac,Comedy
@ijackson_166,242095,Movies,The Signal,Science Fiction:Thriller
@ijackson_166,75198,Movies,Bienvenue à bord,Comedy
@ijackson_166,99367,Movies,Date and Switch,Comedy
@ijackson_166,34803,Movies,Death at a Funeral,Comedy
@ijackson_166,44835,Movies,Hesher,Drama
@ijackson_166,251768,Movies,JLA Adventures: Trapped in Time,Action:Animation:Science Fiction
@ijackson_166,199753,Movies,Tom and Jerry's Giant Adventure,Animation:Family
@vwoock_192,82424,Art|Movies|Technology|DIY and crafts,Small Fry,Adventure:Animation:Comedy:Fantasy:Family:Short
@vwoock_192,63310,Art|Movies|Technology|DIY and crafts,Bullhead,Action:Crime:Drama:Thriller
