movieId,title,avgVote,releaseYear,genres
286614,Distributed real-time leverage,742.7,1234,always
286704,Adaptive real-time paradigm,186.0,7217,agreement
286735,Business-focused asynchronous framework,173.4,7940,condition
286820,Virtual logistical framework,807.56,204,dog
286920,Realigned uniform core,661.19,4563,happen
287009,Multi-channeled asynchronous help-desk,505.9,8319,I
287107,Quality-focused motivating throughput,692.94,8604,third
287133,Operative modular solution,868.26,3751,stage
287157,Distributed optimal website,104.08,1652,view
287254,Face-to-face motivating solution,662.8,3644,perform
