movieId,title,avgVote,releaseYear,genres
286645,Red Groundhog,6.9,1943,Action:Thriller:War
286744,Four Jones,7.0,1959,Comedy
286815,Dancinging the Cop,6.8,1959,Music:Thriller
286843,Hidden of the Lord Lola,7.6,1971,Music:Crime:Romance
286876,Dancing Brokeback,7.4,1934,Fantasy:Adventure
286957,Fall Waves,7.1,1959,Drama
286974,Ring the Simpsons,7.1,1979,Drama:Family:Adventure
287045,Iv of the Breakfast,6.7,1984,Music
287053,Nemo Amores Sunset,7.0,1962,War:Action:Fantasy
287101,Spock Apocalypse,6.9,1986,War:Science Fiction
