movieId,title,avgVote,releaseYear,genres
286613,Synergized Local Utilization: Deploy One-to-one Interfaces,6.9,1993,Family
286615,Fundamental Leadingedge Matrix,7.0,1951,War:Music:Science Fiction
286672,Distributed Client-server Monitoring,6.8,1983,Romance:Drama:War
286746,Reactive Optimal Utilization,7.5,1995,Romance
286811,Multi-layered 3rdgeneration Concept,6.9,1941,Animation:Adventure:Thriller
286883,Cross-platform Holistic Middleware: Scale Efficient Portals,6.8,1930,Science Fiction:Comedy:Thriller
286983,Re-contextualized Impactful Strategy,7.0,1973,War:Thriller
287073,1968: Visionary 5thgeneration Internet Solution,7.8,1983,Action:Adventure
287148,The Function-based Needs-based Strategy,6.8,1993,War
287213,Seamless Heuristic Structure,7.0,1987,Action:Adventure:Romance
