movieId,title,avgVote,releaseYear,genres,plot
5,Four Rooms,6.700000,1995,Comedy,"On New Year's Eve, a hapless bellhop reluctantly navigates the chaotic and absurd happenings of four different hotel rooms, each filled with eccentric guests and unpredictable situations that test his resolve and wit."
11,Star Wars: Episode IV - A New Hope,7.600000,1977,Action:Adventure:Science Fiction,"In a galaxy far, far away, a band of rebels embarks on a daring mission to thwart an evil empire and rescue a captured princess, igniting a timeless struggle against tyranny and the awakening of hope amidst the stars."
12,Finding Nemo,7.100000,2003,Animation:Family,"A timid clownfish braves the ocean's dangers to rescue his adventurous son, who has been captured by a diver, discovering the power of friendship and family along the way."
13,Forrest Gump,7.700000,1994,Comedy:Drama:Romance,"A simple man with a kind heart navigates the ups and downs of life, inadvertently influencing key historical events while pursuing his lifelong love."
14,American Beauty,7.100000,1999,Drama,"A disillusioned suburban father undergoes a profound midlife crisis, leading him to pursue fleeting moments of beauty and rebellion that challenge the superficiality of his life, ultimately revealing deep-seated truths about identity and desire."
15,Citizen Kane,7.400000,1941,Drama,"In a groundbreaking exploration of wealth and power, a dying media tycoon reflects on his tumultuous rise and the personal sacrifices that shaped his legacy, revealing the poignant truth behind his enigmatic last word."
16,Dancer in the Dark,7.600000,2000,Crime:Drama:Music,"In a heart-wrenching tale set against a backdrop of despair, a blind immigrant factory worker sacrifices everything for her son while navigating a web of crime and injustice through her dreams of music and dance."
18,The Fifth Element,6.800000,1997,Action:Adventure:Fantasy:Science Fiction:Thriller,"In a dystopian future, a cab driver teams up with a mysterious woman to retrieve four mystical stones and thwart an ancient evil that threatens to destroy humanity."
19,Metropolis,7.800000,1927,Drama:Science Fiction,"In a dystopian future, the stark divide between the opulent elite and the oppressed workers in a sprawling city ignites a revolutionary struggle, as a young man embarks on a quest to bridge the gap and restore humanity to a fractured society."
20,My Life Without Me,7.700000,2003,Drama:Romance,"A young woman grapples with the knowledge of her terminal illness by embarking on a profound journey of self-discovery and love, seeking to create lasting memories for her family before she must say goodbye."
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.000000,2003,Action:Adventure:Fantasy,"In a thrilling quest for treasure and freedom, a charming rogue pirate teams up with a spirited blacksmith to rescue a kidnapped governor's daughter while battling cursed undead sailors and uncovering secrets of the high seas."
24,Kill Bill: Vol. 1,7.000000,2003,Action:Crime,"In a relentless quest for vengeance, a skilled assassin awakens from a four-year coma and embarks on a brutal mission to eliminate her former comrades who betrayed her, leading to an explosive confrontation filled with stunning action and unforgettable combat sequences."
25,Jarhead,6.200000,2005,Drama:War,"Set against the backdrop of the Gulf War, a young Marine grapples with the harsh realities of combat and the emotional turmoil of war, seeking meaning in the chaos and uncertainty of military life."
27,9 Songs,5.800000,2004,Drama:Music:Romance,"In this intimate drama, a couple navigates the highs and lows of their passionate relationship through a series of unforgettable concerts and shared musical experiences that reflect the depths of their connection."
28,Apocalypse Now,7.300000,1979,War,"In a harrowing journey through the heart of Vietnam, a troubled captain embarks on a mission to confront a rogue colonel who has gone mad, navigating the chaos of war and the darkness within his own soul."
33,Unforgiven,7.200000,1992,Western,"In a gritty tale of redemption and revenge, an aging gunslinger is pulled back into a violent world when he takes on one last job to avenge his fallen comrades in a lawless frontier."
35,The Simpsons Movie,6.700000,2007,Animation:Comedy:Family,"When Springfield is threatened with destruction due to pollution, the Simpson family must come together to save their town, facing outrageous adventures and chaotic mischief along the way."
38,Eternal Sunshine of the Spotless Mind,7.400000,2004,Drama,"In a poignant tale of love and memory, a jaded couple undergoes an experimental procedure to erase their painful breakup from their minds, only to rediscover what made their connection so special."
55,Amores Perros,7.400000,2000,Drama:Thriller,"In a gritty exploration of love and loss, the intertwined lives of three individuals in Mexico City unfold through a tragic car accident, revealing how their destinies are irrevocably linked by choices and the chaos of their passions."
58,Pirates of the Caribbean: Dead Man's Chest,6.600000,2006,Action:Adventure:Fantasy,"In a thrilling quest filled with danger and supernatural foes, a cunning pirate captain must navigate treacherous waters and confront a vengeful ghostly entity to reclaim his soul and save those he loves."
59,A History of Violence,6.500000,2005,Crime:Drama:Thriller,"A small-town diner owner’s violent past resurfaces when he becomes a local hero, forcing him to confront his dark history while battling both external threats and the unraveling relationships with his family."
62,2001: A Space Odyssey,7.300000,1968,Adventure:Mystery:Science Fiction,"In a groundbreaking journey through space, a crew aboard a futuristic spaceship encounters a mysterious artificial intelligence and unravels the enigma of humanity's evolution across the cosmos."
63,Twelve Monkeys,7.000000,1995,Mystery:Science Fiction:Thriller,"In a dystopian future ravaged by a deadly virus, a time traveler is sent back to uncover the origins of the outbreak and prevent the collapse of humanity, but he must navigate a web of conspiracies and madness along the way."
64,Talk to Her,7.100000,2002,Drama:Romance,"In a poignant exploration of love and communication, two men develop an unlikely bond as they care for two women in comas, delving into their pasts and discovering the power of connection in silence."
65,8 Mile,6.500000,2002,Drama,"In a gritty Detroit landscape, a young aspiring rapper struggles to overcome his troubled past and personal demons as he fights for recognition and respect in the underground hip-hop scene."
66,Absolute Power,6.500000,1997,Crime:Drama:Suspense:Thriller,"When a master thief inadvertently witnesses a violent crime involving powerful political figures, he finds himself drawn into a dangerous game of deception and survival as he must outsmart both the authorities and the criminals to expose the truth."
68,Brazil,7.300000,1985,Comedy:Science Fiction,"In a dystopian future, a low-level bureaucrat navigates a surreal and absurd government system, struggling to escape the oppressive regime while pursuing his dreams of love and freedom."
69,Walk the Line,6.500000,2005,Drama:Music:Romance,"A troubled musician rises to fame while navigating the challenges of love and addiction, ultimately finding his voice and redemption through the power of music."
70,Million Dollar Baby,7.100000,2004,Drama:Sport,"A determined young woman trains under a seasoned boxing trainer, discovering resilience and the harsh realities of life as she fights for her dreams in the unforgiving ring."
71,Billy Elliot,6.900000,2000,Comedy:Drama:Music,"In a working-class town in 1980s England, a young boy's passion for ballet challenges societal norms and family expectations, leading him to pursue his dreams against all odds."
73,American History X,7.600000,1998,Drama,"After being released from prison for a brutal hate crime, a former neo-Nazi grapples with his past while trying to prevent his younger brother from following the same destructive path."
74,War of the Worlds,5.800000,2005,Adventure:Science Fiction:Thriller,"As a devastating alien invasion threatens humanity's survival, a desperate father must navigate a chaotic landscape to protect his children amidst the widespread terror and destruction."
75,Mars Attacks!,6.100000,1996,Action:Comedy:Fantasy:Science Fiction,"When a group of comically inept Martians invades Earth with plans for conquest, their misunderstanding of human culture leads to chaotic yet hilarious attempts to communicate and take over."
76,Before Sunrise,7.300000,1995,Drama:Romance,"Two strangers meet on a train in Europe and impulsively decide to spend one unforgettable night together in Vienna, exploring the city and their budding connection, as they confront their fears about love and future."
77,Memento,7.500000,2000,Mystery:Thriller,"A man suffering from short-term memory loss uses tattooed clues to piece together the mystery of his wife's murder, navigating a labyrinth of deceit and confusion."
78,Blade Runner,7.600000,1982,Drama:Science Fiction:Thriller,"In a dystopian future, a weary detective hunts down rogue androids known as replicants, grappling with profound questions of humanity and identity as he uncovers secrets that blur the line between man and machine."
79,Hero,6.500000,2002,Action:Adventure:History,"In a visually stunning tale set in ancient China, a lone warrior must navigate treacherous political landscapes and personal sacrifices to unite his fractured nation against a tyrannical ruler, ultimately revealing the true meaning of heroism and sacrifice."
